index,PeriodDateTimes,WIND,MULTI_FUEL,GAS,HYDRO,PEAT,COAL,PUMP_STORAGE,BIOMASS,OIL,DISTILLATE,SOLAR,NONE
0,"2018-11-09 23:00:00",-1675.4,-2451.2,-716,-31.7,-336.6,0,0,-16.2,-578,-374.2,0,-1324.7
1,"2018-11-10 00:00:00",-1598.8,-2453.8,-717,-31.7,-336.6,0,0,-16.6,-578,-374.2,0,-1320.6
2,"2018-11-10 01:00:00",-1467.6,-2456.3,-716,-31.7,-336.6,0,0,-16.7,-578,-374.2,0,-1295.6
3,"2018-11-10 02:00:00",-1333.6,-2458,-716,-31.7,-336.6,0,0,-16.3,-578,-374.2,0,-1266.7
4,"2018-11-10 03:00:00",-1218,-2459.9,-716,-31.7,-336.6,0,0,-16.3,-578,-374.2,0,-1221.9
5,"2018-11-10 04:00:00",-1119,-2459.2,-715,-31.7,-336.6,0,0,-16.2,-578,-374.2,0,-1187.7
6,"2018-11-10 05:00:00",-1038.5,-2459.7,-715,-49.1,-336.6,0,0,-16.2,-578,-374.2,0,-1153.8
7,"2018-11-10 06:00:00",-958.2,-2456.8,-715,-50.5,-336.6,0,0,-15.9,-578,-374.2,0,-1129.7
8,"2018-11-10 07:00:00",-858.8,-2461.9,-712,-57.2,-338,0,-291.2,-16.5,-578,-376.4,0,-1103.1
9,"2018-11-10 08:00:00",-776.2,-2461.9,-711,-57.2,-338,0,-291.2,-16.3,-578,-376.4,-0.5,-1076.5
10,"2018-11-10 09:00:00",-692,-2458.5,-710,-57.2,-338,0,-291.2,-16.5,-578,-376.4,-1.5,-1051.5
11,"2018-11-10 10:00:00",-643.2,-2453.5,-705,-57.2,-338,0,-291.2,-16.9,-578,-376.4,-2.5,-1031.6
12,"2018-11-10 11:00:00",-612.8,-2450.1,-704,-57.2,-338,0,-291.2,-16.6,-578,-376.4,-3,-1030.5
13,"2018-11-10 12:00:00",-587.6,-2446.9,-704,-74.9,-338,0,-291.2,-16.1,-578,-376.4,-4,-1025.5
14,"2018-11-10 13:00:00",-540,-2447.3,-705,-97.5,-338,0,-291.2,-15.9,-578,-376.4,-3,-1010.2
15,"2018-11-10 14:00:00",-496.4,-2445.8,-705,-108.3,-338,0,-291.2,-16.1,-578,-376.4,-2.5,-994.3
16,"2018-11-10 15:00:00",-438.2,-2446.8,-705,-123,-338,0,-291.2,-16,-578,-376.4,-1.5,-971.5
17,"2018-11-10 16:00:00",-401.5,-2450.6,-708,-123,-338,0,-291.2,-15.9,-578,-376.4,0,-964.1
18,"2018-11-10 17:00:00",-424.8,-2454.9,-709,-123,-338,0,-291.2,-15.8,-578,-376.4,0,-960.7
19,"2018-11-10 18:00:00",-478.1,-2458.7,-710,-123,-338,0,-291.2,-16.5,-578,-376.4,0,-964.7
20,"2018-11-10 19:00:00",-524.6,-2465.7,-712,-123,-338,0,-291.2,-16.6,-578,-376.4,0,-974.8
21,"2018-11-10 20:00:00",-558.9,-2672.8,-713,-108.3,-338,0,-291.2,-16,-578,-376.4,0,-975.5
22,"2018-11-10 21:00:00",-565.7,-2879.5,-714,-86.7,-338,0,-291.2,-15.7,-578,-376.4,0,-998.1
23,"2018-11-10 22:00:00",-566.7,-2874.3,-716,-61.2,-336.6,0,-73,-16.6,-578,-374.2,0,-1004.5
24,"2018-11-10 23:00:00",-595.7,-2869.6,-724,-56.8,-336.6,0,0,-16.2,-578,-374.2,0,-561.5
25,"2018-11-11 00:00:00",-595.3,-2871.9,-725,-37.5,-336.6,0,0,-16.6,-578,-374.2,0,-572.5
26,"2018-11-11 01:00:00",-606,-2870.1,-718,-37.5,-336.6,0,0,-16.7,-578,-374.2,0,-574.6
27,"2018-11-11 02:00:00",-613.5,-2871.5,-718,-37.5,-336.6,0,0,-16.3,-578,-374.2,0,-574.5
28,"2018-11-11 03:00:00",-621.5,-2872.5,-718,-37.5,-336.6,0,0,-16.3,-578,-374.2,0,-569.1
29,"2018-11-11 04:00:00",-650.7,-2873.8,-718,-37.5,-336.6,0,0,-16.2,-578,-374.2,0,-572.5
30,"2018-11-11 05:00:00",-681.6,-2876,-718,-56.8,-336.6,0,0,-16.2,-578,-374.2,0,-587.8
31,"2018-11-11 06:00:00",-732.1,-2877,-718,-56.8,-336.6,0,0,-15.9,-578,-374.2,0,-597.4
32,"2018-11-11 07:00:00",-809,-2878,-715,-57.2,-338,0,-291.2,-16.5,-578,-376.4,0,-593.4
33,"2018-11-11 08:00:00",-917.5,-2871.5,-714,-57.2,-338,0,-291.2,-16.3,-578,-376.4,-0.5,-611
34,"2018-11-11 09:00:00",-1068.3,-2870.8,-713,-57.2,-338,0,-291.2,-16.5,-578,-376.4,-1.5,-635.7
35,"2018-11-11 10:00:00",-1262.5,-2868.2,-712,-57.2,-338,0,-291.2,-16.9,-578,-376.4,-3.5,-690.9
36,"2018-11-11 11:00:00",-1450.5,-2865.3,-711,-57.2,-338,0,-291.2,-16.6,-578,-376.4,-4.5,-756.1
37,"2018-11-11 12:00:00",-1630.7,-2860.4,-710,-74.9,-338,0,-291.2,-16.1,-578,-376.4,-5,-810.9
38,"2018-11-11 13:00:00",-1757,-2861.1,-712,-97.5,-338,0,-291.2,-15.9,-578,-376.4,-4.5,-846.5
39,"2018-11-11 14:00:00",-1851,-2861.3,-712,-108.3,-338,0,-291.2,-16.1,-578,-376.4,-2.5,-889.8
40,"2018-11-11 15:00:00",-1908.2,-2862.6,-712,-123,-338,0,-291.2,-16,-578,-376.4,-1,-919.1
41,"2018-11-11 16:00:00",-1910.4,-2862.6,-714,-123,-338,0,-291.2,-15.9,-578,-376.4,0,-912.9
42,"2018-11-11 17:00:00",-1912.6,-2863.8,-715,-123,-338,0,-291.2,-15.8,-578,-376.4,0,-907.4
43,"2018-11-11 18:00:00",-1896.9,-2864.1,-716,-123,-338,0,-291.2,-16.5,-578,-376.4,0,-906
44,"2018-11-11 19:00:00",-1884.1,-2867.2,-716,-123,-338,0,-291.2,-16.6,-578,-376.4,0,-911.9
45,"2018-11-11 20:00:00",-1906.9,-3068.6,-717,-108.3,-338,0,-291.2,-16,-578,-376.4,0,-915.6
46,"2018-11-11 21:00:00",-1942.5,-3272.1,-717,-86.7,-338,0,-291.2,-15.7,-578,-376.4,0,-920.8
47,"2018-11-11 22:00:00",-1969.3,-3264.8,-717,-62.6,-336.6,0,-73,-16.6,-578,-374.2,0,-923.2
48,"2018-11-11 23:00:00",-1791.2,-2859.4,-727,-32.6,-336.6,0,0,-16.2,-578,-610.6,0,-1339.2
49,"2018-11-12 00:00:00",-1796.7,-2861.4,-727,-31.7,-336.6,0,0,-16.6,-578,-610.6,0,-1350.2
50,"2018-11-12 01:00:00",-1762.7,-2860.4,-718,-31.7,-336.6,0,0,-16.7,-578,-610.6,0,-1338.9
51,"2018-11-12 02:00:00",-1750.3,-2862.3,-718,-31.7,-336.6,0,0,-16.3,-578,-610.6,0,-1348.9
52,"2018-11-12 03:00:00",-1733.1,-2861.3,-718,-31.7,-336.6,0,0,-16.3,-578,-610.6,0,-1357.9
53,"2018-11-12 04:00:00",-1730.1,-2861.4,-718,-31.7,-336.6,0,0,-16.2,-578,-610.6,0,-1357.3
54,"2018-11-12 05:00:00",-1729,-2865.3,-717,-49.1,-336.6,0,0,-16.2,-578,-610.6,0,-1337.4
55,"2018-11-12 06:00:00",-1712.5,-2863.4,-717,-66.7,-336.6,0,0,-15.9,-578,-610.6,0,-1306.6
56,"2018-11-12 07:00:00",-1691.3,-2865.3,-715,-73,-338,0,-291.2,-16.5,-578,-612.8,0,-1288.8
57,"2018-11-12 08:00:00",-1618.8,-2865.2,-715,-73,-338,0,-291.2,-16.3,-578,-612.8,0,-1270.7
58,"2018-11-12 09:00:00",-1550.6,-2865.2,-714,-88.2,-338,0,-291.2,-16.5,-578,-612.8,-1,-1277.8
59,"2018-11-12 10:00:00",-1544.1,-2863.3,-711,-91.6,-338,0,-291.2,-16.9,-578,-612.8,-1.5,-1296
60,"2018-11-12 11:00:00",-1553.6,-2860.3,-711,-93,-338,0,-291.2,-16.6,-578,-612.8,-2,-1296.6
61,"2018-11-12 12:00:00",-1551.1,-2859.3,-710,-115.6,-338,0,-291.2,-16.1,-578,-612.8,-2,-1283
62,"2018-11-12 13:00:00",-1540.7,-2859.3,-712,-120,-338,0,-291.2,-15.9,-578,-612.8,-2,-1260.5
63,"2018-11-12 14:00:00",-1489.5,-2858.3,-712,-120,-338,0,-291.2,-16.1,-578,-612.8,-1,-1252.8
64,"2018-11-12 15:00:00",-1490.6,-2859.3,-713,-120,-338,0,-291.2,-16,-578,-612.8,-1,-1240.4
65,"2018-11-12 16:00:00",-1452.4,-2864.3,-715,-120,-338,0,-291.2,-15.9,-578,-612.8,0,-1226.5
66,"2018-11-12 17:00:00",-1403.2,-2869.3,-716,-120,-338,0,-291.2,-15.8,-578,-612.8,0,-1221.3
67,"2018-11-12 18:00:00",-1408.8,-2873.3,-718,-120,-338,0,-291.2,-16.5,-578,-612.8,0,-1218.9
68,"2018-11-12 19:00:00",-1389.1,-2876.1,-719,-120,-338,0,-291.2,-16.6,-578,-612.8,0,-1266.3
69,"2018-11-12 20:00:00",-1425,-2877.1,-719,-115.6,-338,0,-291.2,-16,-578,-612.8,0,-1270.4
70,"2018-11-12 21:00:00",-1442.7,-2877.1,-720,-96,-338,0,-291.2,-15.7,-578,-612.8,0,-1271
71,"2018-11-12 22:00:00",-1451,-2877.2,-722,-73,-336.6,0,0,-16.6,-578,-610.6,0,-1263
72,"2018-11-12 23:00:00",-1603,-2878.3,-732,-80.2,-336.6,0,0,-16.2,-578,-374.2,0,-1201.7
73,"2018-11-13 00:00:00",-1580.8,-2879.3,-733,-80.2,-336.6,0,0,-16.6,-578,-374.2,0,-1195.8
74,"2018-11-13 01:00:00",-1535.4,-2880.2,-721,-80.2,-336.6,0,0,-16.7,-578,-374.2,0,-1176.6
75,"2018-11-13 02:00:00",-1444,-2880.2,-722,-80.2,-336.6,0,0,-16.3,-578,-374.2,0,-1157.2
76,"2018-11-13 03:00:00",-1357.7,-2880.2,-722,-80.2,-336.6,0,0,-16.3,-578,-374.2,0,-1134.7
77,"2018-11-13 04:00:00",-1234.6,-2882.2,-723,-80.2,-336.6,0,0,-16.2,-578,-374.2,0,-1115.2
78,"2018-11-13 05:00:00",-1114.6,-2880.2,-724,-80.2,-336.6,0,0,-16.2,-578,-374.2,0,-1091.7
