index,PeriodDateTimes,WIND,MULTI_FUEL,GAS,HYDRO,PEAT,COAL,PUMP_STORAGE,BIOMASS,OIL,DISTILLATE,SOLAR,NONE
10009,01/01/2020 00:00,-441.1,-1336,-702,-146.7,-267.7,0,0,-14,0,0,0,-558.3
10010,01/01/2020 01:00,-467.7,-1281.2,-702,-146.7,-267.7,0,0,-14,0,0,0,-553.9
10011,01/01/2020 02:00,-521.7,-1129.9,-516,-146.7,-267.7,0,0,-14,0,0,0,-429.3
10012,01/01/2020 03:00,-566.7,-922.5,-484,-146.7,-267.7,0,0,-14,0,0,0,-430.4
10013,01/01/2020 04:00,-603.7,-856.7,-452,-146.7,-267.7,0,0,-14,0,0,0,-450.3
10014,01/01/2020 05:00,-646.7,-899.9,-452,-146.7,-267.7,0,0,-14,0,0,0,-486.3
10015,01/01/2020 06:00,-697.2,-899.9,-452,-146.7,-267.7,0,0,-14,0,0,0,-521.9
10016,01/01/2020 07:00,-751.3,-901.8,-642,-147.3,-269,0,0,-14,0,0,0,-538.9
10017,01/01/2020 08:00,-819.4,-1121.8,-642,-147.3,-269,0,0,-14,0,0,0,-563.5
10018,01/01/2020 09:00,-885.9,-1136.8,-702,-147.3,-269,0,0,-14,0,0,0,-598.2
10019,01/01/2020 10:00,-963.1,-1242,-702,-147.3,-269,0,0,-14,0,0,0,-612
10020,01/01/2020 11:00,-1049.5,-1486,-730,-147.3,-269,0,0,-14,0,0,0,-720.1
10021,01/01/2020 12:00,-1137.7,-1307.9,-728,-147.3,-269,0,0,-14,0,0,0,-748.3
10022,01/01/2020 13:00,-1284,-1307.9,-701,-147.3,-269,0,0,-14,0,0,0,-825.8
10023,01/01/2020 14:00,-1407.7,-1242,-700,-147.3,-269,0,0,-14,0,0,0,-885.4
10024,01/01/2020 15:00,-1568.3,-1239.1,-700,-148.7,-269,0,0,-14,0,0,0,-912.3
10025,01/01/2020 16:00,-1755.6,-1483.7,-726,-171.8,-269,0,0,-14,0,0,0,-1015.5
10026,01/01/2020 17:00,-1976.3,-1545.5,-725,-171.8,-269,0,-72.5,-14,0,0,0,-1090.1
10027,01/01/2020 18:00,-2178.3,-1242,-700,-171.8,-269,0,0,-14,0,0,0,-1136.5
10028,01/01/2020 19:00,-2345.7,-1130.5,-340,-171.8,-269,0,0,-14,0,0,0,-1108.2
10029,01/01/2020 20:00,-2466.3,-560.9,-339,-171.8,-269,0,0,-14,0,0,0,-1305
10030,01/01/2020 21:00,-2554.2,-239.3,-312,-147.3,-269,0,0,-14,0,0,0,-1364.7
10031,01/01/2020 22:00,-2610.8,-239.3,-120,-146.7,-210.6,0,0,-14,0,0,0,-1240.4
10032,01/01/2020 23:00,-2632.7,-239.3,0,-132.2,-204.6,0,0,-14,0,0,0,-1005.1
10033,02/01/2020 00:00,-2637.2,-239.3,0,-126.5,-118.4,0,0,-14,0,0,0,-1177.3
10034,02/01/2020 01:00,-2539,-239.3,0,-113.9,-41,0,0,-14,0,0,0,-1180.5
10035,02/01/2020 02:00,-2553.3,-239.3,0,-25.7,-41,0,0,-14,0,0,0,-1120.5
10036,02/01/2020 03:00,-2573.1,-239.3,0,-17.7,-41,0,0,-14,0,0,0,-1023.3
10037,02/01/2020 04:00,-2597.1,-239.3,0,0,-37.8,0,0,-14,0,0,0,-1025
10038,02/01/2020 05:00,-2620,-239.3,0,0,-41,0,0,-14,0,0,0,-998.4
10039,02/01/2020 06:00,-2646.9,-239.3,0,-90.5,-41,0,0,-14,0,0,0,-1093.8
10040,02/01/2020 07:00,-2819.6,-239.3,0,-127,-205.5,0,0,-14,0,0,0,-1431.6
10041,02/01/2020 08:00,-2831.1,-469.3,0,-152.3,-312,0,0,-14,0,0,0,-1423.9
10042,02/01/2020 09:00,-2834,-505.5,0,-166.3,-312,0,0,-14,0,0,0,-1503.8
10043,02/01/2020 10:00,-2849.6,-638.8,0,-169.7,-312,0,0,-14,0,0,0,-1545.9
10044,02/01/2020 11:00,-2866.4,-904.3,0,-168.7,-312,0,0,-14,0,0,0,-1316.6
10045,02/01/2020 12:00,-2870,-900.2,0,-168.7,-312,0,0,-14,0,0,0,-1348.2
10046,02/01/2020 13:00,-2871.4,-899.3,0,-154,-312,0,0,-14,0,0,0,-1316.8
10047,02/01/2020 14:00,-2879.3,-899.3,0,-150.1,-312,0,0,-14,0,0,0,-1291.4
10048,02/01/2020 15:00,-2814.9,-908.1,0,-147.6,-312,0,0,-14,0,0,0,-1419.4
10049,02/01/2020 16:00,-2700.4,-910.4,0,-166.9,-312,0,0,-14,0,0,0,-1362.5
10050,02/01/2020 17:00,-2554.7,-910.8,0,-183.5,-312,0,-72.5,-14,0,0,0,-1295
10051,02/01/2020 18:00,-2331.1,-911,0,-191.3,-312,0,0,-14,0,0,0,-1164.1
10052,02/01/2020 19:00,-2162.3,-911.4,0,-184.2,-312,0,0,-14,0,0,0,-1070.6
10053,02/01/2020 20:00,-2064.4,-909.4,0,-177.1,-312,0,0,-14,0,0,0,-1029.4
10054,02/01/2020 21:00,-1975.3,-904.3,0,-166.8,-312,0,0,-14,0,0,0,-952.8
10055,02/01/2020 22:00,-1789.6,-898.3,0,-151.7,-310.7,0,0,-14,0,0,0,-899
10056,02/01/2020 23:00,-1965.6,-741.1,0,-148.7,-282.6,0,0,-14,0,0,0,-990.3
10057,03/01/2020 00:00,-1806.6,-673.3,0,-132.3,-282.6,0,0,-14,0,0,0,-1075.3
10058,03/01/2020 01:00,-1684.2,-673.3,0,-126.6,-233.6,0,0,-14,0,0,0,-1053.5
10059,03/01/2020 02:00,-1590.1,-673.3,0,-126.6,-233.6,0,0,-14,0,0,0,-1026.8
10060,03/01/2020 03:00,-1478.3,-673.3,0,-126.6,-118.4,0,0,-14,0,0,0,-901.3
10061,03/01/2020 04:00,-1338.1,-673.3,0,-126.6,-233.6,0,0,-14,0,0,0,-958.2
10062,03/01/2020 05:00,-1213.6,-876.1,0,-126.6,-282.6,0,0,-14,0,0,0,-836
10063,03/01/2020 06:00,-1110.1,-1162.4,0,-126.6,-282.6,0,0,-14,0,0,0,-862.8
10064,03/01/2020 07:00,-984.2,-1729.9,-342,-127,-312,0,0,-14,0,0,0,-629.4
10065,03/01/2020 08:00,-893.2,-1828.8,-702,-150.5,-312,0,0,-14,0,0,0,-653.1
10066,03/01/2020 09:00,-854.3,-1828.8,-731,-156.2,-312,0,0,-14,0,0,0,-638
10067,03/01/2020 10:00,-885,-1828.8,-732,-168.8,-312,0,0,-14,0,0,0,-628.4
10068,03/01/2020 11:00,-971.5,-1828.8,-719.9,-168.8,-312,0,0,-14,0,0,0,-646.2
10069,03/01/2020 12:00,-1070.1,-1657,-702,-168.8,-312,0,0,-14,0,0,0,-579.4
10070,03/01/2020 13:00,-1227.5,-1657,-702,-154.1,-312,0,0,-14,0,0,0,-635.4
10071,03/01/2020 14:00,-1362.2,-1657,-682,-150.2,-312,0,0,-14,0,0,0,-674.3
10072,03/01/2020 15:00,-1372.6,-1657,-702,-147.7,-312,0,0,-14,0,0,0,-754.9
10073,03/01/2020 16:00,-1364.7,-1828.8,-729,-170.8,-312,0,0,-14,0,0,0,-723.4
10074,03/01/2020 17:00,-1367.1,-1876.8,-730,-185.5,-336,0,-39.7,-14,0,0,0,-739.7
10075,03/01/2020 18:00,-1431.1,-1828.8,-727,-193.3,-312,0,0,-14,0,0,0,-705
10076,03/01/2020 19:00,-1463.6,-1772.4,-702,-192.8,-312,0,0,-14,0,0,0,-720.5
10077,03/01/2020 20:00,-1463.6,-1697.8,-702,-192.3,-312,0,0,-14,0,0,0,-718.9
10078,03/01/2020 21:00,-1483.6,-1095,-695.5,-167.8,-312,0,0,-14,0,0,0,-743.8
10079,03/01/2020 22:00,-1510.4,-1092.4,-580,-152.7,-310.7,0,0,-14,0,0,0,-747.2
10080,03/01/2020 23:00,-1465.3,-1004.9,-465,-130.5,-310.7,0,0,-13,0,0,0,-738.5
10081,04/01/2020 00:00,-1477.4,-907,-401,-126.6,-310.7,0,0,-13,0,0,0,-735
10082,04/01/2020 01:00,-1466.8,-789.5,-401,-127.6,-310.7,0,0,-13,0,0,0,-769.9
10083,04/01/2020 02:00,-1447.6,-789.5,-369,-127.6,-261.7,0,0,-13,0,0,0,-730.8
10084,04/01/2020 03:00,-1441,-789.5,-369,-127.6,-204.6,0,0,-13,0,0,0,-719.6
10085,04/01/2020 04:00,-1467.5,-789.5,-369,-127.6,-118.4,0,0,-13,0,0,0,-713.4
10086,04/01/2020 05:00,-1434,-789.5,-391,-127.6,-118.4,0,0,-13,0,0,0,-701.2
10087,04/01/2020 06:00,-1397.6,-789.5,-420,-127.6,-261.7,0,0,-13,0,0,0,-733.8
