StartTime,EndTime,ImbalanceVolume,ImbalancePrice,ImbalanceCost
"2018-10-30 23:00:00","2018-10-30 23:30:00",28.997,62.19,NULL
"2018-10-30 23:30:00","2018-10-31 00:00:00",20.665,49.86,NULL
"2018-10-31 00:00:00","2018-10-31 00:30:00",19.375,51.94,NULL
"2018-10-31 00:30:00","2018-10-31 01:00:00",22.803,55.57,NULL
"2018-10-31 01:00:00","2018-10-31 01:30:00",15.89,49.24,NULL
"2018-10-31 01:30:00","2018-10-31 02:00:00",18.153,60.38,NULL
"2018-10-31 02:00:00","2018-10-31 02:30:00",18.048,61.85,NULL
"2018-10-31 02:30:00","2018-10-31 03:00:00",17.917,61.52,NULL
"2018-10-31 03:00:00","2018-10-31 03:30:00",19.031,64.28,NULL
"2018-10-31 03:30:00","2018-10-31 04:00:00",19.368,61.34,NULL
"2018-10-31 04:00:00","2018-10-31 04:30:00",15.11,57.82,NULL
"2018-10-31 04:30:00","2018-10-31 05:00:00",12.893,55.57,NULL
"2018-10-31 05:00:00","2018-10-31 05:30:00",5.743,72.08,NULL
"2018-10-31 05:30:00","2018-10-31 06:00:00",22.377,72.55,NULL
"2018-10-31 06:00:00","2018-10-31 06:30:00",18.501,81.09,NULL
"2018-10-31 06:30:00","2018-10-31 07:00:00",18.299,80.97,NULL
"2018-10-31 07:00:00","2018-10-31 07:30:00",14.897,44.58,NULL
"2018-10-31 07:30:00","2018-10-31 08:00:00",14.087,44.11,NULL
"2018-10-31 08:00:00","2018-10-31 08:30:00",14.417,44.15,NULL
"2018-10-31 08:30:00","2018-10-31 09:00:00",10.144,43.56,NULL
"2018-10-31 09:00:00","2018-10-31 09:30:00",16.462,47.36,NULL
"2018-10-31 09:30:00","2018-10-31 10:00:00",27.381,64.15,NULL
"2018-10-31 10:00:00","2018-10-31 10:30:00",28.311,57.71,NULL
"2018-10-31 10:30:00","2018-10-31 11:00:00",31.366,80.58,NULL
"2018-10-31 11:00:00","2018-10-31 11:30:00",34.725,78.5,NULL
"2018-10-31 11:30:00","2018-10-31 12:00:00",33.317,72.69,NULL
"2018-10-31 12:00:00","2018-10-31 12:30:00",37.175,87.16,NULL
"2018-10-31 12:30:00","2018-10-31 13:00:00",39.618,90.39,NULL
"2018-10-31 13:00:00","2018-10-31 13:30:00",36.524,77.77,NULL
"2018-10-31 13:30:00","2018-10-31 14:00:00",35.659,75.89,NULL
"2018-10-31 14:00:00","2018-10-31 14:30:00",32.119,69.3,NULL
"2018-10-31 14:30:00","2018-10-31 15:00:00",33.257,71.68,NULL
"2018-10-31 15:00:00","2018-10-31 15:30:00",33.587,64.19,NULL
"2018-10-31 15:30:00","2018-10-31 16:00:00",34.646,76.68,NULL
"2018-10-31 16:00:00","2018-10-31 16:30:00",32.071,61.38,NULL
"2018-10-31 16:30:00","2018-10-31 17:00:00",38.45,80.78,NULL
"2018-10-31 17:00:00","2018-10-31 17:30:00",55.885,103.62,NULL
"2018-10-31 17:30:00","2018-10-31 18:00:00",66.053,355.04,NULL
"2018-10-31 18:00:00","2018-10-31 18:30:00",51.168,176.46,NULL
"2018-10-31 18:30:00","2018-10-31 19:00:00",39.227,58.64,NULL
"2018-10-31 19:00:00","2018-10-31 19:30:00",32.346,59.95,NULL
"2018-10-31 19:30:00","2018-10-31 20:00:00",20.836,51.29,NULL
"2018-10-31 20:00:00","2018-10-31 20:30:00",10,41.27,NULL
"2018-10-31 20:30:00","2018-10-31 21:00:00",4.096,39.97,NULL
"2018-10-31 21:00:00","2018-10-31 21:30:00",12.7,43.44,NULL
"2018-10-31 21:30:00","2018-10-31 22:00:00",7.179,39.71,NULL
"2018-10-31 22:00:00","2018-10-31 22:30:00",7.966,58.72,NULL
"2018-10-31 22:30:00","2018-10-31 23:00:00",14.092,51.45,NULL
"2018-10-31 23:00:00","2018-10-31 23:30:00",30.233,81.59,NULL
"2018-10-31 23:30:00","2018-11-01 00:00:00",39.244,94.23,NULL
"2018-11-01 00:00:00","2018-11-01 00:30:00",29.443,84.8,NULL
"2018-11-01 00:30:00","2018-11-01 01:00:00",28.447,78.42,NULL
"2018-11-01 01:00:00","2018-11-01 01:30:00",30.939,86.96,NULL
"2018-11-01 01:30:00","2018-11-01 02:00:00",33.688,89.3,NULL
"2018-11-01 02:00:00","2018-11-01 02:30:00",30.87,87.7,NULL
"2018-11-01 02:30:00","2018-11-01 03:00:00",30.873,87.61,NULL
"2018-11-01 03:00:00","2018-11-01 03:30:00",25.95,86.75,NULL
"2018-11-01 03:30:00","2018-11-01 04:00:00",25.006,86.55,NULL
"2018-11-01 04:00:00","2018-11-01 04:30:00",20.697,80.44,NULL
"2018-11-01 04:30:00","2018-11-01 05:00:00",14.87,58.41,NULL
"2018-11-01 05:00:00","2018-11-01 05:30:00",5.034,44.65,NULL
"2018-11-01 05:30:00","2018-11-01 06:00:00",13.289,51.31,NULL
"2018-11-01 06:00:00","2018-11-01 06:30:00",14.176,60.66,NULL
"2018-11-01 06:30:00","2018-11-01 07:00:00",18.853,50.28,NULL
"2018-11-01 07:00:00","2018-11-01 07:30:00",12.073,35.88,NULL
"2018-11-01 07:30:00","2018-11-01 08:00:00",9.378,42.36,NULL
"2018-11-01 08:00:00","2018-11-01 08:30:00",-8.639,44.91,NULL
"2018-11-01 08:30:00","2018-11-01 09:00:00",0.972,46.16,NULL
"2018-11-01 09:00:00","2018-11-01 09:30:00",20.926,62.04,NULL
"2018-11-01 09:30:00","2018-11-01 10:00:00",29.69,59.29,NULL
"2018-11-01 10:00:00","2018-11-01 10:30:00",29.232,56.43,NULL
"2018-11-01 10:30:00","2018-11-01 11:00:00",22.444,52.72,NULL
"2018-11-01 11:00:00","2018-11-01 11:30:00",22.297,56.46,NULL
"2018-11-01 11:30:00","2018-11-01 12:00:00",21.278,51.7,NULL
"2018-11-01 12:00:00","2018-11-01 12:30:00",7.191,44,NULL
"2018-11-01 12:30:00","2018-11-01 13:00:00",-0.343,45.26,NULL
"2018-11-01 13:00:00","2018-11-01 13:30:00",8.858,48.15,NULL
"2018-11-01 13:30:00","2018-11-01 14:00:00",8.656,51.1,NULL
"2018-11-01 14:00:00","2018-11-01 14:30:00",8.082,41.72,NULL
"2018-11-01 14:30:00","2018-11-01 15:00:00",8.679,41.6,NULL
"2018-11-01 15:00:00","2018-11-01 15:30:00",8.487,40.6,NULL
"2018-11-01 15:30:00","2018-11-01 16:00:00",NULL,72.12,NULL
"2018-11-01 16:00:00","2018-11-01 16:30:00",5.262,42.73,NULL
"2018-11-01 16:30:00","2018-11-01 17:00:00",17.675,51.14,NULL
"2018-11-01 17:00:00","2018-11-01 17:30:00",36.259,79.78,NULL
"2018-11-01 17:30:00","2018-11-01 18:00:00",58.459,191.12,NULL
"2018-11-01 18:00:00","2018-11-01 18:30:00",47.527,238.5,NULL
"2018-11-01 18:30:00","2018-11-01 19:00:00",40.672,154.22,NULL
"2018-11-01 19:00:00","2018-11-01 19:30:00",38.789,82.69,NULL
"2018-11-01 19:30:00","2018-11-01 20:00:00",31.384,56.02,NULL
"2018-11-01 20:00:00","2018-11-01 20:30:00",27.158,59.56,NULL
"2018-11-01 20:30:00","2018-11-01 21:00:00",17.254,43.99,NULL
"2018-11-01 21:00:00","2018-11-01 21:30:00",15.359,55.92,NULL
"2018-11-01 21:30:00","2018-11-01 22:00:00",7.482,60.09,NULL
"2018-11-01 22:00:00","2018-11-01 22:30:00",15.01,88.2,NULL
"2018-11-01 22:30:00","2018-11-01 23:00:00",11.154,71.94,NULL
"2018-11-01 23:00:00","2018-11-01 23:30:00",14.037,91.34,NULL
"2018-11-01 23:30:00","2018-11-02 00:00:00",14.056,54,NULL
"2018-11-02 00:00:00","2018-11-02 00:30:00",9.491,71.39,NULL
"2018-11-02 00:30:00","2018-11-02 01:00:00",16.934,92.56,NULL
"2018-11-02 01:00:00","2018-11-02 01:30:00",12.044,49.07,NULL
"2018-11-02 01:30:00","2018-11-02 02:00:00",5.668,45.72,NULL
"2018-11-02 02:00:00","2018-11-02 02:30:00",5.878,53.38,NULL
"2018-11-02 02:30:00","2018-11-02 03:00:00",4.711,50.33,NULL
"2018-11-02 03:00:00","2018-11-02 03:30:00",6.47,50.38,NULL
"2018-11-02 03:30:00","2018-11-02 04:00:00",5.554,39.93,NULL
"2018-11-02 04:00:00","2018-11-02 04:30:00",13.478,65.39,NULL
"2018-11-02 04:30:00","2018-11-02 05:00:00",20.645,72.97,NULL
"2018-11-02 05:00:00","2018-11-02 05:30:00",15.048,191.99,NULL
"2018-11-02 05:30:00","2018-11-02 06:00:00",38.214,139.63,NULL
"2018-11-02 06:00:00","2018-11-02 06:30:00",27.342,112.41,NULL
"2018-11-02 06:30:00","2018-11-02 07:00:00",29.285,92.54,NULL
"2018-11-02 07:00:00","2018-11-02 07:30:00",21.27,58.18,NULL
"2018-11-02 07:30:00","2018-11-02 08:00:00",20.405,62.09,NULL
"2018-11-02 08:00:00","2018-11-02 08:30:00",12.873,47.74,NULL
"2018-11-02 08:30:00","2018-11-02 09:00:00",13.222,49.65,NULL
"2018-11-02 09:00:00","2018-11-02 09:30:00",23.313,50.78,NULL
"2018-11-02 09:30:00","2018-11-02 10:00:00",24.086,55.19,NULL
"2018-11-02 10:00:00","2018-11-02 10:30:00",18.498,48.75,NULL
"2018-11-02 10:30:00","2018-11-02 11:00:00",18.449,48.73,NULL
"2018-11-02 11:00:00","2018-11-02 11:30:00",10.648,38.96,NULL
"2018-11-02 11:30:00","2018-11-02 12:00:00",10.728,41.75,NULL
"2018-11-02 12:00:00","2018-11-02 12:30:00",14.231,59.23,NULL
"2018-11-02 12:30:00","2018-11-02 13:00:00",10.704,65.37,NULL
"2018-11-02 13:00:00","2018-11-02 13:30:00",8.393,47.87,NULL
"2018-11-02 13:30:00","2018-11-02 14:00:00",-6.617,44.3,NULL
"2018-11-02 14:00:00","2018-11-02 14:30:00",-18.634,40.54,NULL
"2018-11-02 14:30:00","2018-11-02 15:00:00",-19.937,43.3,NULL
"2018-11-02 15:00:00","2018-11-02 15:30:00",-12.483,44.65,NULL
"2018-11-02 15:30:00","2018-11-02 16:00:00",-6.244,106.41,NULL
"2018-11-02 16:00:00","2018-11-02 16:30:00",-17.788,72.04,NULL
"2018-11-02 16:30:00","2018-11-02 17:00:00",-18.972,38.42,NULL
"2018-11-02 17:00:00","2018-11-02 17:30:00",-18.353,27.99,NULL
"2018-11-02 17:30:00","2018-11-02 18:00:00",-18.19,24.71,NULL
"2018-11-02 18:00:00","2018-11-02 18:30:00",-13.863,12.68,NULL
"2018-11-02 18:30:00","2018-11-02 19:00:00",-25.64,23.45,NULL
"2018-11-02 19:00:00","2018-11-02 19:30:00",-21.934,27.51,NULL
"2018-11-02 19:30:00","2018-11-02 20:00:00",-18.467,35.22,NULL
"2018-11-02 20:00:00","2018-11-02 20:30:00",-4.143,12.92,NULL
"2018-11-02 20:30:00","2018-11-02 21:00:00",8.207,95.05,NULL
"2018-11-02 21:00:00","2018-11-02 21:30:00",12.293,86.17,NULL
"2018-11-02 21:30:00","2018-11-02 22:00:00",1.931,39.01,NULL
"2018-11-02 22:00:00","2018-11-02 22:30:00",-2.738,39.98,NULL
"2018-11-02 22:30:00","2018-11-02 23:00:00",-6.958,46.57,NULL
"2018-11-02 23:00:00","2018-11-02 23:30:00",15.009,82.14,NULL
"2018-11-02 23:30:00","2018-11-03 00:00:00",12.466,73.12,NULL
"2018-11-03 00:00:00","2018-11-03 00:30:00",4.142,56.22,NULL
"2018-11-03 00:30:00","2018-11-03 01:00:00",-6.347,31.1,NULL
"2018-11-03 01:00:00","2018-11-03 01:30:00",-6.135,41.54,NULL
"2018-11-03 01:30:00","2018-11-03 02:00:00",-19.141,-1.66,NULL
"2018-11-03 02:00:00","2018-11-03 02:30:00",-31.116,43.61,NULL
"2018-11-03 02:30:00","2018-11-03 03:00:00",-34.273,32.4,NULL
"2018-11-03 03:00:00","2018-11-03 03:30:00",-31.322,43.6,NULL
