AreaSet,AuctionDateTime,EURGBPRate,DeliveryPeriod,IntervalDuration,EURPrices
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-11 23:00:00",60,55.089
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 00:00:00",60,55.12
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 01:00:00",60,46.46
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 02:00:00",60,45.71
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 03:00:00",60,41.38
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 04:00:00",60,44.37
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 05:00:00",60,47.29
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 06:00:00",60,60.44
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 07:00:00",60,63.979
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 08:00:00",60,67.19
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 09:00:00",60,72.037
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 10:00:00",60,69.097
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 11:00:00",60,67.765
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 12:00:00",60,65.283
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 13:00:00",60,67.212
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 14:00:00",60,68.033
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 15:00:00",60,72.188
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 16:00:00",60,89.41
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 17:00:00",60,106.64
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 18:00:00",60,89.932
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 19:00:00",60,74.533
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 20:00:00",60,64.163
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 21:00:00",60,64.195
SEM-DA,"2018-11-11 11:00:00",0.87366766,"2018-11-12 22:00:00",60,59.35
SEM-DA,"2018-11-12 11:00:00",0.87627059,"2018-11-12 23:00:00",60,60.11
SEM-DA,"2018-11-12 11:00:00",0.87627059,"2018-11-13 00:00:00",60,60.11
SEM-DA,"2018-11-12 11:00:00",0.87627059,"2018-11-13 01:00:00",60,60.11
SEM-DA,"2018-11-12 11:00:00",0.87627059,"2018-11-13 02:00:00",60,55.023
SEM-DA,"2018-11-12 11:00:00",0.87627059,"2018-11-13 03:00:00",60,51.41
SEM-DA,"2018-11-12 11:00:00",0.87627059,"2018-11-13 04:00:00",60,53.321
SEM-DA,"2018-11-12 11:00:00",0.87627059,"2018-11-13 05:00:00",60,60.98
SEM-DA,"2018-11-12 11:00:00",0.87627059,"2018-11-13 06:00:00",60,64.387
