ID,AreaSet,AuctionName,AuctionDateTime,SourceData,EURGBPRate,DeliveryPeriod,IntervalDuration,EURPrices,GBPPrices
10010,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 00:00,60,51.24,43.66053155
10011,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 01:00,60,48.55,41.36843885
10012,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 02:00,60,36.909,31.44938639
10013,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 03:00,60,32.77,27.92263112
10014,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 04:00,60,31.69,27.00238573
10015,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 05:00,60,31.63,26.95126098
10016,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 06:00,60,31.545,26.87883426
10017,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 07:00,60,32.362,27.57498286
10018,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 08:00,60,33.616,28.64349002
10019,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 09:00,60,39.184,33.38786628
10020,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 10:00,60,45.675,38.91871152
10021,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 11:00,60,52.6,44.81935908
10022,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 12:00,60,49,41.75187443
10023,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 13:00,60,48.079,40.96710961
10024,SEM-DA,PWR-MRC-D+1,31/12/2019 11:00,MarketResult_SEM-DA_PWR-MRC-D+1_20191231110000_20191231113243.csv,0.85207907,01/01/2020 14:00,60,47.706,40.64928411
