ID,DatasetName,SourceData,PublishTime,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
86835,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 00:00:00","2020-01-01 00:30:00",3030,692,3722
86837,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 01:00:00","2020-01-01 01:30:00",2884,636,3520
86839,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 02:00:00","2020-01-01 02:30:00",2617,624,3241
86841,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 03:00:00","2020-01-01 03:30:00",2457,585,3042
86843,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 04:00:00","2020-01-01 04:30:00",2369,559,2928
86845,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 05:00:00","2020-01-01 05:30:00",2300,555,2855
86847,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 06:00:00","2020-01-01 06:30:00",2318,574,2892
86849,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 07:00:00","2020-01-01 07:30:00",2400,626,3026
86851,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 08:00:00","2020-01-01 08:30:00",2436,670,3106
86853,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 09:00:00","2020-01-01 09:30:00",2492,712,3204
86855,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 10:00:00","2020-01-01 10:30:00",2753,792,3545
86857,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 11:00:00","2020-01-01 11:30:00",3046,875,3921
86859,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 12:00:00","2020-01-01 12:30:00",3293,953,4246
86861,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 13:00:00","2020-01-01 13:30:00",3464,1002,4466
86863,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 14:00:00","2020-01-01 14:30:00",3427,988,4415
86865,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 15:00:00","2020-01-01 15:30:00",3392,982,4374
86867,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 16:00:00","2020-01-01 16:30:00",3426,1006,4432
86869,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 17:00:00","2020-01-01 17:30:00",3785,1188,4973
86871,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 18:00:00","2020-01-01 18:30:00",3874,1177,5051
86873,PUB_DailyLoadFcst,PUB_DailyLoadFcst_201912311011.xml,"2019-12-31 10:11:31","2020-01-01 19:00:00","2020-01-01 19:30:00",3724,1112,4836
