index,DeliveryPeriod,EURPrices,-24,-48,-72,-168,BMImbalancePrice,BM-24,BM-48,BM-72,BM-168,WindAggregatedForecast,Wind-24,Wind-48,Wind-72,Wind-168,DemandAggregatedForecast,Demand-24,Demand-48,Demand-72,Demand-168,MULTI_FUEL_-168,GAS_-168,HYDRO_-168,PEAT_-168,COAL_-168,PUMP_STORAGE_-168,BIOMASS_-168,OIL_-168,DISTILLATE_-168,SOLAR_-168,NONE_-168,InterconnectorNetTotal_-24,InterconnectorNetTotal_-168
949,"2018-12-19 00:00:00",69.02,0,73.969,55,66.01,24.43,61.64,75.2,11.65,39.41,2142.63,3950.6,1143.58,2219.19,700.94,4105,3939,3837,4037,4080,-930.3,-504.6,-151.2,-336.6,0,0,-16.6,0,0,0,-397.1,-595.5,975
950,"2018-12-19 01:00:00",60.466,0,71.91,56.31,63.9,21.35,49.64,19.11,-61.07,40.41,2293.17,3942.15,1131.02,2069.04,556.3,3773,3613,3541,3726,3764,-930.3,-394.5,-135.1,-336.6,0,0,-16.7,0,0,0,-386.2,-595.5,975.5
951,"2018-12-19 02:00:00",57.251,32.93,62.203,52.898,60.88,39.6,14.61,31.86,16.16,108.09,2460.74,3907.97,1208.7,1895.4,434.91,3570,3419,3364,3456,3589,-813.8,-485.7,-135.1,-336.6,0,0,-16.3,0,0,0,-375.4,-595.25,976
952,"2018-12-19 03:00:00",56.482,40,57.729,52.661,61.1,43.97,0.08,13.89,7.17,103.23,2610.37,3833.54,1346.1,1746.56,320.37,3445,3295,3292,3329,3496,-813.8,-464.2,-135.1,-336.6,0,0,-16.3,0,0,0,-390.2,-595.75,975.5
953,"2018-12-19 04:00:00",56.08,44.19,55.833,52.501,61.43,62.83,-3.86,-23.93,17.22,105.72,2752.95,3530.12,1529.13,1643.34,259.07,3445,3296,3271,3262,3462,-930.3,-392.3,-135.1,-336.6,0,0,-16.2,0,0,0,-381.6,-595.75,955.75
954,"2018-12-19 05:00:00",54,48.99,64.022,57.211,69.71,56.71,-108.11,38.12,61.48,34.13,2838.32,3191.33,1742.73,1581.38,253.8,3472,3336,3307,3231,3509,-988.5,-708,-135.1,-336.6,0,0,-16.2,0,0,0,-394.4,-595.5,684.5
955,"2018-12-19 06:00:00",56.5,58,65.85,63.186,82,96.02,6.12,34.82,71.62,34.27,2862.48,2880.41,2015.25,1580.62,311.15,3759,3623,3560,3298,3768,-1642.6,-718,-135.1,-336.6,0,0,-15.9,0,0,0,-412.7,-595.25,439.75
956,"2018-12-19 07:00:00",70.275,65.608,81.671,56.567,105,22.6,45.27,163.11,55.49,42.42,2777.9,2786.97,2254.55,1610.54,531.52,4526,4353,4290,3442,4502,-1673,-708,-136.3,-338,0,-127.5,-16.5,0,0,0,-415.6,-578.25,852
957,"2018-12-19 08:00:00",78.499,72.01,82.09,59.791,119.26,51.26,48.84,98.47,87.93,86.9,2659.08,2414.88,2506.85,1582.78,657.95,5404,5197,5173,3691,5385,-1671.1,-721,-171.3,-338,0,-127.5,-16.3,0,0,0,-407.6,-356.25,975.75
958,"2018-12-19 09:00:00",74.197,73.052,80.013,71.972,120.24,75.25,51.75,133.6,143.69,92.84,2539.93,2099.73,2811.87,1573.24,817.32,5460,5222,5253,3970,5416,-1670.1,-730,-181.6,-338,0,-123.8,-16.5,0,0,-0.5,-438.1,20.75,975.5
