PublishTime,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
"2018-11-08 06:04:21","2018-11-08 23:00:00","2018-11-08 23:15:00",960.45,321.98,1282.43
"2018-11-08 06:04:21","2018-11-09 00:00:00","2018-11-09 00:15:00",1013.81,308.05,1321.86
"2018-11-08 06:04:21","2018-11-09 01:00:00","2018-11-09 01:15:00",1083.65,283.19,1366.84
"2018-11-08 06:04:21","2018-11-09 02:00:00","2018-11-09 02:15:00",1173.67,273.03,1446.7
"2018-11-08 06:04:21","2018-11-09 03:00:00","2018-11-09 03:15:00",1260.98,272.69,1533.67
"2018-11-08 06:04:21","2018-11-09 04:00:00","2018-11-09 04:15:00",1388.94,285.22,1674.16
"2018-11-08 06:04:21","2018-11-09 05:00:00","2018-11-09 05:15:00",1558.04,316.85,1874.89
"2018-11-08 06:04:21","2018-11-09 06:00:00","2018-11-09 06:15:00",1781.4,377.94,2159.34
"2018-11-08 06:04:21","2018-11-09 07:00:00","2018-11-09 07:15:00",2038.38,459.78,2498.16
"2018-11-08 06:04:21","2018-11-09 08:00:00","2018-11-09 08:15:00",2339.45,563.61,2903.06
"2018-11-08 06:04:21","2018-11-09 09:00:00","2018-11-09 09:15:00",2566.84,668.97,3235.81
"2018-11-08 06:04:21","2018-11-09 10:00:00","2018-11-09 10:15:00",2691.13,754.73,3445.86
"2018-11-08 06:04:21","2018-11-09 11:00:00","2018-11-09 11:15:00",2733.05,799.28,3532.33
"2018-11-08 06:04:21","2018-11-09 12:00:00","2018-11-09 12:15:00",2686.01,819.01,3505.02
"2018-11-08 06:04:21","2018-11-09 13:00:00","2018-11-09 13:15:00",2552.25,827.43,3379.68
"2018-11-08 06:04:21","2018-11-09 14:00:00","2018-11-09 14:15:00",2385.5,846.76,3232.26
"2018-11-08 06:04:21","2018-11-09 15:00:00","2018-11-09 15:15:00",2126.41,859.95,2986.36
"2018-11-08 06:04:21","2018-11-09 16:00:00","2018-11-09 16:15:00",1868.63,850.06,2718.69
"2018-11-08 06:04:21","2018-11-09 17:00:00","2018-11-09 17:15:00",1627.14,767.86,2395
"2018-11-08 06:04:21","2018-11-09 18:00:00","2018-11-09 18:15:00",1485.95,614.81,2100.76
"2018-11-08 06:04:21","2018-11-09 19:00:00","2018-11-09 19:15:00",1482.15,483.49,1965.64
"2018-11-08 06:04:21","2018-11-09 20:00:00","2018-11-09 20:15:00",1569.46,439.98,2009.44
"2018-11-08 06:04:21","2018-11-09 21:00:00","2018-11-09 21:15:00",1654.35,453.11,2107.46
"2018-11-08 06:04:21","2018-11-09 22:00:00","2018-11-09 22:15:00",1698.23,484.17,2182.4
"2018-11-09 06:04:36","2018-11-09 23:00:00","2018-11-09 23:15:00",1575.9,471.82,2047.72
"2018-11-09 06:04:36","2018-11-10 00:00:00","2018-11-10 00:15:00",1477.95,497.86,1975.81
"2018-11-09 06:04:36","2018-11-10 01:00:00","2018-11-10 01:15:00",1311.33,486.85,1798.18
"2018-11-09 06:04:36","2018-11-10 02:00:00","2018-11-10 02:15:00",1151.89,449.24,1601.13
"2018-11-09 06:04:36","2018-11-10 03:00:00","2018-11-10 03:15:00",1017.06,385.85,1402.91
"2018-11-09 06:04:36","2018-11-10 04:00:00","2018-11-10 04:15:00",906.36,336.69,1243.05
"2018-11-09 06:04:36","2018-11-10 05:00:00","2018-11-10 05:15:00",794.5,321.81,1116.31
"2018-11-09 06:04:36","2018-11-10 06:00:00","2018-11-10 06:15:00",712.97,328.42,1041.39
"2018-11-09 06:04:36","2018-11-10 07:00:00","2018-11-10 07:15:00",640.91,329.15,970.06
"2018-11-09 06:04:36","2018-11-10 08:00:00","2018-11-10 08:15:00",585.49,313.34,898.83
"2018-11-09 06:04:36","2018-11-10 09:00:00","2018-11-10 09:15:00",541.94,284.02,825.96
"2018-11-09 06:04:36","2018-11-10 10:00:00","2018-11-10 10:15:00",536.87,272.33,809.2
"2018-11-09 06:04:36","2018-11-10 11:00:00","2018-11-10 11:15:00",541.23,257.18,798.41
"2018-11-09 06:04:36","2018-11-10 12:00:00","2018-11-10 12:15:00",584.84,237.41,822.25
"2018-11-09 06:04:36","2018-11-10 13:00:00","2018-11-10 13:15:00",615.89,205.55,821.44
"2018-11-09 06:04:36","2018-11-10 14:00:00","2018-11-10 14:15:00",634.74,176.9,811.64
"2018-11-09 06:04:36","2018-11-10 15:00:00","2018-11-10 15:15:00",613.98,149.64,763.62
"2018-11-09 06:04:36","2018-11-10 16:00:00","2018-11-10 16:15:00",594.45,128.85,723.3
