ID,DatasetName,SourceData,PublishTime,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
177711,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 00:00:00","2020-01-01 00:15:00",312.778,246.216,558.994
177715,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 01:00:00","2020-01-01 01:15:00",362.479,239.471,601.95
177719,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 02:00:00","2020-01-01 02:15:00",425.538,241.48,667.018
177723,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 03:00:00","2020-01-01 03:15:00",484.159,252.842,737.001
177727,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 04:00:00","2020-01-01 04:15:00",517.956,256.946,774.902
177731,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 05:00:00","2020-01-01 05:15:00",536.05,267.365,803.415
177735,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 06:00:00","2020-01-01 06:15:00",561.179,254.17,815.349
177739,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 07:00:00","2020-01-01 07:15:00",573.589,234.279,807.868
177743,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 08:00:00","2020-01-01 08:15:00",610.679,231.297,841.976
177747,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 09:00:00","2020-01-01 09:15:00",729.797,256.127,985.924
177751,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 10:00:00","2020-01-01 10:15:00",849.016,292.168,1141.184
177755,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 11:00:00","2020-01-01 11:15:00",909.773,314.787,1224.56
177759,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 12:00:00","2020-01-01 12:15:00",961.17,328.303,1289.473
177763,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 13:00:00","2020-01-01 13:15:00",1050.129,335.181,1385.31
177767,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 14:00:00","2020-01-01 14:15:00",1216.542,362.367,1578.909
177771,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 15:00:00","2020-01-01 15:15:00",1404.363,400.085,1804.448
177775,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 16:00:00","2020-01-01 16:15:00",1614.753,439.764,2054.517
177779,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 17:00:00","2020-01-01 17:15:00",1860.628,484.501,2345.129
177783,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 18:00:00","2020-01-01 18:15:00",2094.041,536.237,2630.278
177787,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 19:00:00","2020-01-01 19:15:00",2252.265,571.58,2823.845
177791,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 20:00:00","2020-01-01 20:15:00",2368.641,592.481,2961.122
177795,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 21:00:00","2020-01-01 21:15:00",2502.536,622.09,3124.626
177799,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_201912310606.xml,"2019-12-31 06:06:21","2020-01-01 22:00:00","2020-01-01 22:15:00",2672.569,656.595,3329.164
178123,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-01 23:00:00","2020-01-01 23:15:00",2672.422,685.371,3357.793
178127,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 00:00:00","2020-01-02 00:15:00",2767.018,715.871,3482.889
178131,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 01:00:00","2020-01-02 01:15:00",2852.986,731.539,3584.525
178135,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 02:00:00","2020-01-02 02:15:00",2910.371,736.041,3646.412
178139,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 03:00:00","2020-01-02 03:15:00",2942.776,742.859,3685.635
178143,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 04:00:00","2020-01-02 04:15:00",3026.432,752.03,3778.462
178147,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 05:00:00","2020-01-02 05:15:00",3102.904,760.012,3862.916
178151,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 06:00:00","2020-01-02 06:15:00",3144.307,771.691,3915.998
178155,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 07:00:00","2020-01-02 07:15:00",3154.118,769.53,3923.648
178159,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 08:00:00","2020-01-02 08:15:00",3146.438,768.447,3914.885
178163,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 09:00:00","2020-01-02 09:15:00",3153.751,768.486,3922.237
178167,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 10:00:00","2020-01-02 10:15:00",3160.565,762.691,3923.256
178171,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 11:00:00","2020-01-02 11:15:00",3141.759,740.594,3882.353
178175,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 12:00:00","2020-01-02 12:15:00",3130.918,714.775,3845.693
178179,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 13:00:00","2020-01-02 13:15:00",3132.849,696.992,3829.841
178183,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 14:00:00","2020-01-02 14:15:00",3142.48,681.471,3823.951
178187,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 15:00:00","2020-01-02 15:15:00",3174.942,673.009,3847.951
178191,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 16:00:00","2020-01-02 16:15:00",3192.14,669.038,3861.178
178195,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 17:00:00","2020-01-02 17:15:00",3144.145,660.244,3804.389
178199,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 18:00:00","2020-01-02 18:15:00",2992.213,633.477,3625.69
178203,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 19:00:00","2020-01-02 19:15:00",2674.103,547.468,3221.571
178207,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 20:00:00","2020-01-02 20:15:00",2283.442,447.431,2730.873
178211,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 21:00:00","2020-01-02 21:15:00",2130.636,407.193,2537.829
178215,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001010606.xml,"2020-01-01 06:06:21","2020-01-02 22:00:00","2020-01-02 22:15:00",2195.831,502.967,2698.798
178539,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-02 23:00:00","2020-01-02 23:15:00",2539.009,569.495,3108.504
178543,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 00:00:00","2020-01-03 00:15:00",2371.676,507.973,2879.649
178547,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 01:00:00","2020-01-03 01:15:00",2173.489,446.752,2620.241
178551,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 02:00:00","2020-01-03 02:15:00",1885.823,392.317,2278.14
178555,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 03:00:00","2020-01-03 03:15:00",1571.995,360.711,1932.706
178559,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 04:00:00","2020-01-03 04:15:00",1341.058,338.394,1679.452
178563,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 05:00:00","2020-01-03 05:15:00",1198.505,342.958,1541.463
178567,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 06:00:00","2020-01-03 06:15:00",1076.128,329.011,1405.139
178571,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 07:00:00","2020-01-03 07:15:00",1000.895,329.726,1330.621
178575,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 08:00:00","2020-01-03 08:15:00",966.505,343.204,1309.709
178579,PUB_4DayAggRollWindUnitFcst,PUB_4DayAggRollWindUnitFcst_202001020606.xml,"2020-01-02 06:06:31","2020-01-03 09:00:00","2020-01-03 09:15:00",934.805,372.396,1307.201
