,Original,Forecast
2020-01-01 00:00:00,49.0,36.2765854356933
2020-01-01 01:00:00,51.24,33.15912949899945
2020-01-01 02:00:00,48.55,29.567888328889204
2020-01-01 03:00:00,36.909,25.663770000648093
2020-01-01 04:00:00,32.77,24.465370337389196
2020-01-01 05:00:00,31.69,24.533022885738085
2020-01-01 06:00:00,31.63,26.39680182091648
2020-01-01 07:00:00,31.545,31.5526862989025
2020-01-01 08:00:00,32.361999999999995,32.769793513111196
2020-01-01 09:00:00,33.616,36.19576298918654
2020-01-01 10:00:00,39.184,41.15386379032154
2020-01-01 11:00:00,45.675,44.97905634791229
2020-01-01 12:00:00,52.6,46.46989023661696
2020-01-01 13:00:00,49.0,48.66843004899441
2020-01-01 14:00:00,48.07899999999999,47.55586088008285
2020-01-01 15:00:00,47.706,44.495626357579084
2020-01-01 16:00:00,43.21,44.57921438526506
2020-01-01 17:00:00,53.95,56.518607088182996
2020-01-01 18:00:00,58.09,69.3633367636501
2020-01-01 19:00:00,46.17,56.40224810108435
2020-01-01 20:00:00,35.27,45.53386633047964
2020-01-01 21:00:00,32.77,40.41225338365057
2020-01-01 22:00:00,27.08,38.00202699404885
2020-01-01 23:00:00,14.0,32.4530369087005
2020-01-02 00:00:00,9.6,35.598637500461955
2020-01-02 01:00:00,-1.0,33.98100951364452
2020-01-02 02:00:00,-4.39,28.96202532972614
2020-01-02 03:00:00,-4.48,23.920503369439885
2020-01-02 04:00:00,-4.48,21.591918878399746
2020-01-02 05:00:00,-5.2,21.198456606207152
2020-01-02 06:00:00,-5.0,21.583175384723646
2020-01-02 07:00:00,-4.39,23.701238554329976
2020-01-02 08:00:00,15.0,27.628398161931457
2020-01-02 09:00:00,30.0,30.81678868608421
2020-01-02 10:00:00,42.428000000000004,37.41867553558976
2020-01-02 11:00:00,44.0,43.03702706953712
2020-01-02 12:00:00,35.0,46.41533510791301
2020-01-02 13:00:00,34.13,45.59784483438848
2020-01-02 14:00:00,34.0,44.55149984439315
2020-01-02 15:00:00,34.0,43.350336020542386
2020-01-02 16:00:00,39.0,42.302037013636806
2020-01-02 17:00:00,47.271,54.39264698214495
2020-01-02 18:00:00,56.821000000000005,62.37799232575086
2020-01-02 19:00:00,49.516999999999996,51.57074440730355
2020-01-02 20:00:00,46.928000000000004,41.659673053174146
2020-01-02 21:00:00,39.614000000000004,37.83720719963846
2020-01-02 22:00:00,34.621,34.09872724632723
2020-01-02 23:00:00,33.406,25.379669430895895
2020-01-03 00:00:00,30.52,24.65663653539684
2020-01-03 01:00:00,28.633000000000003,19.533948247584874
2020-01-03 02:00:00,27.033,15.86650752261125
2020-01-03 03:00:00,26.171999999999997,13.502897735725938
2020-01-03 04:00:00,23.651,12.64756518067373
2020-01-03 05:00:00,26.75,12.32799422378308
2020-01-03 06:00:00,30.52,12.65836418552755
2020-01-03 07:00:00,43.166000000000004,14.660301331433706
2020-01-03 08:00:00,43.74,22.483553853330967
2020-01-03 09:00:00,48.312,28.966437950339547
2020-01-03 10:00:00,53.203,38.084724321223895
2020-01-03 11:00:00,53.18,42.413298823561554
2020-01-03 12:00:00,48.57,40.76572715442495
2020-01-03 13:00:00,42.938,41.06139391822824
2020-01-03 14:00:00,42.225,40.151508545266104
2020-01-03 15:00:00,40.541,39.51993106825491
2020-01-03 16:00:00,41.083999999999996,40.96016754365078
2020-01-03 17:00:00,50.098,52.12682847483635
2020-01-03 18:00:00,58.284,61.72647411889709
2020-01-03 19:00:00,48.57,51.937638829428145
2020-01-03 20:00:00,46.961000000000006,45.004086766175966
2020-01-03 21:00:00,42.68,39.481137797233984
2020-01-03 22:00:00,41.07,35.88517055670884
2020-01-03 23:00:00,37.809,30.90858016871293
2020-01-04 00:00:00,34.830999999999996,30.45628630181893
2020-01-04 01:00:00,30.0,27.178934174522684
2020-01-04 02:00:00,28.069000000000003,22.60925417549798
2020-01-04 03:00:00,26.75,20.74375574764996
2020-01-04 04:00:00,25.031999999999996,18.860349629227592
2020-01-04 05:00:00,24.682,19.90294013180889
2020-01-04 06:00:00,24.598000000000003,21.839374526737387
2020-01-04 07:00:00,26.75,28.630484055880622
2020-01-04 08:00:00,29.694000000000003,32.010879398252044
2020-01-04 09:00:00,35.779,37.119654892704
2020-01-04 10:00:00,40.0,43.30998492782182
2020-01-04 11:00:00,43.361999999999995,46.817324480799904
2020-01-04 12:00:00,43.99,44.43376338192283
2020-01-04 13:00:00,43.99,42.20104297328115
2020-01-04 14:00:00,46.17,41.607617933854144
2020-01-04 15:00:00,45.0,40.63618312702434
2020-01-04 16:00:00,38.96,42.0078694302278
2020-01-04 17:00:00,55.748999999999995,53.64015876018763
2020-01-04 18:00:00,70.88,64.4181316690946
2020-01-04 19:00:00,60.758,52.36794120042459
2020-01-04 20:00:00,48.8,45.70325552477672
2020-01-04 21:00:00,41.0,40.891481341008955
2020-01-04 22:00:00,39.066,38.92794523750706
2020-01-04 23:00:00,37.293,33.42001087713871
2020-01-05 00:00:00,46.69,31.235901199646374
2020-01-05 01:00:00,31.719,27.73817748262048
2020-01-05 02:00:00,30.513,26.35027389571973
2020-01-05 03:00:00,28.0,24.13986548522817
2020-01-05 04:00:00,28.0,22.721395051561842
2020-01-05 05:00:00,27.28,22.829702240090867
2020-01-05 06:00:00,26.35,23.624346904057518
2020-01-05 07:00:00,25.8,27.106577683830718
2020-01-05 08:00:00,25.36,29.751574180192346
2020-01-05 09:00:00,26.94,33.815902909134344
2020-01-05 10:00:00,36.727,40.53392317522502
2020-01-05 11:00:00,43.468,44.300301693575825
2020-01-05 12:00:00,37.489000000000004,44.504798065181404
2020-01-05 13:00:00,37.896,44.44653443096611
2020-01-05 14:00:00,42.354,44.39424513169771
2020-01-05 15:00:00,43.468,42.425643699587
2020-01-05 16:00:00,39.888000000000005,40.70839271140071
2020-01-05 17:00:00,53.5,54.28250060908883
2020-01-05 18:00:00,66.37,66.63053344694302
2020-01-05 19:00:00,52.213,55.72121208860628
2020-01-05 20:00:00,45.117,46.52828207629504
2020-01-05 21:00:00,37.239000000000004,41.296555688961085
2020-01-05 22:00:00,28.0,39.049111664296774
2020-01-05 23:00:00,17.0,35.59678126832242
2020-01-06 00:00:00,-1.0,39.1380433049855
2020-01-06 01:00:00,-4.01,33.08537014836083
2020-01-06 02:00:00,-4.2,31.413047751226586
2020-01-06 03:00:00,-4.01,28.060139751543737
2020-01-06 04:00:00,-4.14,26.959452322255586
2020-01-06 05:00:00,-4.17,26.846924319698374
2020-01-06 06:00:00,-4.01,27.279966724794477
2020-01-06 07:00:00,-0.1,29.721163489185628
2020-01-06 08:00:00,28.0,31.28852347998032
2020-01-06 09:00:00,43.87,34.331239767099845
2020-01-06 10:00:00,39.0,40.003544202897956
2020-01-06 11:00:00,41.435,44.140281357404724
2020-01-06 12:00:00,41.28,41.907480233270576
2020-01-06 13:00:00,40.491,41.33679052393779
2020-01-06 14:00:00,41.32,42.850252463540215
2020-01-06 15:00:00,42.668,43.002178311252806
2020-01-06 16:00:00,45.33,41.703894250015395
2020-01-06 17:00:00,51.41,54.10568191118094
2020-01-06 18:00:00,64.152,66.42152325797312
2020-01-06 19:00:00,71.0,53.28486119425694
2020-01-06 20:00:00,53.091,45.004815585995736
2020-01-06 21:00:00,44.435,39.09094829292938
2020-01-06 22:00:00,42.618,35.05673442620184
2020-01-06 23:00:00,34.251,27.96203192853473
2020-01-07 00:00:00,33.652,22.409933365678924
2020-01-07 01:00:00,30.439,17.447362606112012
2020-01-07 02:00:00,12.9,16.41606587087031
2020-01-07 03:00:00,-0.25,14.883827949383347
2020-01-07 04:00:00,-0.26,14.18107370455985
2020-01-07 05:00:00,-0.294,14.07531157244937
2020-01-07 06:00:00,-0.294,14.497601253200122
2020-01-07 07:00:00,0.0,17.515396121037053
2020-01-07 08:00:00,31.58,29.646808824466614
2020-01-07 09:00:00,36.55,38.29238948416209
2020-01-07 10:00:00,48.618,40.818283098252124
2020-01-07 11:00:00,46.21,43.39644878178025
2020-01-07 12:00:00,44.9,41.76302285110465
2020-01-07 13:00:00,44.688,41.21607575799294
2020-01-07 14:00:00,37.99,41.78490672252494
2020-01-07 15:00:00,37.99,41.18465913044232
2020-01-07 16:00:00,43.643,41.97196307102957
2020-01-07 17:00:00,48.28,51.00271903807047
2020-01-07 18:00:00,50.51,62.128989386560974
2020-01-07 19:00:00,48.99,57.99789335533958
2020-01-07 20:00:00,46.785,47.41262590713599
2020-01-07 21:00:00,40.808,41.310297883774076
2020-01-07 22:00:00,36.912,38.125506398617205
2020-01-07 23:00:00,32.93,32.845263777293795
2020-01-08 00:00:00,28.83,31.47692868615904
2020-01-08 01:00:00,27.212,28.483687281638286
2020-01-08 02:00:00,25.01,21.64689893614792
2020-01-08 03:00:00,21.506,15.45980152427752
2020-01-08 04:00:00,20.854,14.492189943647897
2020-01-08 05:00:00,26.607,14.681604468673417
2020-01-08 06:00:00,33.07,15.157347920354319
2020-01-08 07:00:00,41.49,17.53918121918058
2020-01-08 08:00:00,45.0,32.42653352507185
2020-01-08 09:00:00,46.56,37.68482802690264
2020-01-08 10:00:00,51.0,43.89239505657316
2020-01-08 11:00:00,54.99,44.78047342915599
