,Original,Forecast
2020-01-01 00:00:00,49.0,46.451
2020-01-01 01:00:00,51.24,42.033
2020-01-01 02:00:00,48.55,41.583
2020-01-01 03:00:00,36.909,35.51
2020-01-01 04:00:00,32.77,33.509
2020-01-01 05:00:00,31.69,33.083
2020-01-01 06:00:00,31.63,34.857
2020-01-01 07:00:00,31.545,41.105
2020-01-01 08:00:00,32.361999999999995,39.175
2020-01-01 09:00:00,33.616,42.113
2020-01-01 10:00:00,39.184,47.391000000000005
2020-01-01 11:00:00,45.675,50.324
2020-01-01 12:00:00,52.6,52.783
2020-01-01 13:00:00,49.0,55.181999999999995
2020-01-01 14:00:00,48.07899999999999,53.25
2020-01-01 15:00:00,47.706,45.0
2020-01-01 16:00:00,43.21,45.73
2020-01-01 17:00:00,53.95,65.56
2020-01-01 18:00:00,58.09,86.61
2020-01-01 19:00:00,46.17,68.0
2020-01-01 20:00:00,35.27,50.0
2020-01-01 21:00:00,32.77,46.0
2020-01-01 22:00:00,27.08,42.36600000000001
2020-01-01 23:00:00,14.0,40.241
2020-01-02 00:00:00,9.6,49.0
2020-01-02 01:00:00,-1.0,51.24
2020-01-02 02:00:00,-4.39,48.55
2020-01-02 03:00:00,-4.48,36.909
2020-01-02 04:00:00,-4.48,32.77
2020-01-02 05:00:00,-5.2,31.69
2020-01-02 06:00:00,-5.0,31.63
2020-01-02 07:00:00,-4.39,31.545
2020-01-02 08:00:00,15.0,32.361999999999995
2020-01-02 09:00:00,30.0,33.616
2020-01-02 10:00:00,42.428000000000004,39.184
2020-01-02 11:00:00,44.0,45.675
2020-01-02 12:00:00,35.0,52.6
2020-01-02 13:00:00,34.13,49.0
2020-01-02 14:00:00,34.0,48.07899999999999
2020-01-02 15:00:00,34.0,47.706
2020-01-02 16:00:00,39.0,43.21
2020-01-02 17:00:00,47.271,53.95
2020-01-02 18:00:00,56.821000000000005,58.09
2020-01-02 19:00:00,49.516999999999996,46.17
2020-01-02 20:00:00,46.928000000000004,35.27
2020-01-02 21:00:00,39.614000000000004,32.77
2020-01-02 22:00:00,34.621,27.08
2020-01-02 23:00:00,33.406,14.0
2020-01-03 00:00:00,30.52,9.6
2020-01-03 01:00:00,28.633000000000003,-1.0
2020-01-03 02:00:00,27.033,-4.39
2020-01-03 03:00:00,26.171999999999997,-4.48
2020-01-03 04:00:00,23.651,-4.48
2020-01-03 05:00:00,26.75,-5.2
2020-01-03 06:00:00,30.52,-5.0
2020-01-03 07:00:00,43.166000000000004,-4.39
2020-01-03 08:00:00,43.74,15.0
2020-01-03 09:00:00,48.312,30.0
2020-01-03 10:00:00,53.203,42.428000000000004
2020-01-03 11:00:00,53.18,44.0
2020-01-03 12:00:00,48.57,35.0
2020-01-03 13:00:00,42.938,34.13
2020-01-03 14:00:00,42.225,34.0
2020-01-03 15:00:00,40.541,34.0
2020-01-03 16:00:00,41.083999999999996,39.0
2020-01-03 17:00:00,50.098,47.271
2020-01-03 18:00:00,58.284,56.821000000000005
2020-01-03 19:00:00,48.57,49.516999999999996
2020-01-03 20:00:00,46.961000000000006,46.928000000000004
2020-01-03 21:00:00,42.68,39.614000000000004
2020-01-03 22:00:00,41.07,34.621
2020-01-03 23:00:00,37.809,33.406
2020-01-04 00:00:00,34.830999999999996,30.52
2020-01-04 01:00:00,30.0,28.633000000000003
2020-01-04 02:00:00,28.069000000000003,27.033
2020-01-04 03:00:00,26.75,26.171999999999997
2020-01-04 04:00:00,25.031999999999996,23.651
