,Original,Forecast
2020-01-01 00:00:00,49.0,70.134
2020-01-01 01:00:00,51.24,70.28
2020-01-01 02:00:00,48.55,65.18
2020-01-01 03:00:00,36.909,60.91
2020-01-01 04:00:00,32.77,65.16
2020-01-01 05:00:00,31.69,65.16
2020-01-01 06:00:00,31.63,68.29
2020-01-01 07:00:00,31.545,63.03
2020-01-01 08:00:00,32.361999999999995,51.621
2020-01-01 09:00:00,33.616,51.632
2020-01-01 10:00:00,39.184,59.965
2020-01-01 11:00:00,45.675,67.73
2020-01-01 12:00:00,52.6,64.09
2020-01-01 13:00:00,49.0,80.0
2020-01-01 14:00:00,48.07899999999999,110.33
2020-01-01 15:00:00,47.706,100.27799999999999
2020-01-01 16:00:00,43.21,110.33
2020-01-01 17:00:00,53.95,185.0
2020-01-01 18:00:00,58.09,270.0
2020-01-01 19:00:00,46.17,250.0
2020-01-01 20:00:00,35.27,148.0
2020-01-01 21:00:00,32.77,90.0
2020-01-01 22:00:00,27.08,66.0
2020-01-01 23:00:00,14.0,89.0
2020-01-02 00:00:00,9.6,76.09
2020-01-02 01:00:00,-1.0,76.205
2020-01-02 02:00:00,-4.39,73.664
2020-01-02 03:00:00,-4.48,71.38
2020-01-02 04:00:00,-4.48,71.38
2020-01-02 05:00:00,-5.2,66.98
2020-01-02 06:00:00,-5.0,71.38
2020-01-02 07:00:00,-4.39,71.38
2020-01-02 08:00:00,15.0,75.0
2020-01-02 09:00:00,30.0,77.52
2020-01-02 10:00:00,42.428000000000004,100.0
2020-01-02 11:00:00,44.0,126.8
2020-01-02 12:00:00,35.0,132.02
2020-01-02 13:00:00,34.13,150.645
2020-01-02 14:00:00,34.0,142.74
2020-01-02 15:00:00,34.0,131.53
2020-01-02 16:00:00,39.0,145.44
2020-01-02 17:00:00,47.271,237.07
2020-01-02 18:00:00,56.821000000000005,365.04
2020-01-02 19:00:00,49.516999999999996,267.5
2020-01-02 20:00:00,46.928000000000004,142.6
2020-01-02 21:00:00,39.614000000000004,87.0
2020-01-02 22:00:00,34.621,76.98
2020-01-02 23:00:00,33.406,77.52
2020-01-03 00:00:00,30.52,71.01
2020-01-03 01:00:00,28.633000000000003,70.72
2020-01-03 02:00:00,27.033,66.72
2020-01-03 03:00:00,26.171999999999997,66.72
2020-01-03 04:00:00,23.651,62.72
2020-01-03 05:00:00,26.75,62.72
2020-01-03 06:00:00,30.52,62.72
2020-01-03 07:00:00,43.166000000000004,69.801
2020-01-03 08:00:00,43.74,75.203
2020-01-03 09:00:00,48.312,81.74600000000001
2020-01-03 10:00:00,53.203,86.36
2020-01-03 11:00:00,53.18,112.33200000000001
2020-01-03 12:00:00,48.57,86.36
2020-01-03 13:00:00,42.938,110.0
2020-01-03 14:00:00,42.225,101.44
2020-01-03 15:00:00,40.541,99.0
2020-01-03 16:00:00,41.083999999999996,114.0
2020-01-03 17:00:00,50.098,190.57
2020-01-03 18:00:00,58.284,270.0
2020-01-03 19:00:00,48.57,224.0
2020-01-03 20:00:00,46.961000000000006,135.0
2020-01-03 21:00:00,42.68,81.439
2020-01-03 22:00:00,41.07,77.04
2020-01-03 23:00:00,37.809,77.68
2020-01-04 00:00:00,34.830999999999996,72.69
2020-01-04 01:00:00,30.0,68.69
2020-01-04 02:00:00,28.069000000000003,69.0
2020-01-04 03:00:00,26.75,59.286
2020-01-04 04:00:00,25.031999999999996,59.195
2020-01-04 05:00:00,24.682,58.4
2020-01-04 06:00:00,24.598000000000003,65.432
2020-01-04 07:00:00,26.75,72.94
2020-01-04 08:00:00,29.694000000000003,75.501
2020-01-04 09:00:00,35.779,85.859
2020-01-04 10:00:00,40.0,139.2
2020-01-04 11:00:00,43.361999999999995,146.9
2020-01-04 12:00:00,43.99,143.85
2020-01-04 13:00:00,43.99,144.0
2020-01-04 14:00:00,46.17,111.89
2020-01-04 15:00:00,45.0,88.06
2020-01-04 16:00:00,38.96,109.494
2020-01-04 17:00:00,55.748999999999995,195.59
2020-01-04 18:00:00,70.88,270.5
2020-01-04 19:00:00,60.758,231.0
2020-01-04 20:00:00,48.8,167.29
2020-01-04 21:00:00,41.0,109.48
2020-01-04 22:00:00,39.066,80.28
2020-01-04 23:00:00,37.293,83.86
2020-01-05 00:00:00,46.69,82.99
2020-01-05 01:00:00,31.719,72.57
2020-01-05 02:00:00,30.513,72.57
2020-01-05 03:00:00,28.0,72.57
2020-01-05 04:00:00,28.0,72.57
2020-01-05 05:00:00,27.28,67.56
2020-01-05 06:00:00,26.35,69.0
2020-01-05 07:00:00,25.8,63.894
2020-01-05 08:00:00,25.36,63.731
2020-01-05 09:00:00,26.94,67.628
2020-01-05 10:00:00,36.727,72.467
2020-01-05 11:00:00,43.468,73.23
2020-01-05 12:00:00,37.489000000000004,81.92
2020-01-05 13:00:00,37.896,81.92
2020-01-05 14:00:00,42.354,81.92
2020-01-05 15:00:00,43.468,81.92
2020-01-05 16:00:00,39.888000000000005,81.92
2020-01-05 17:00:00,53.5,134.2
2020-01-05 18:00:00,66.37,200.0
2020-01-05 19:00:00,52.213,199.0
2020-01-05 20:00:00,45.117,184.993
2020-01-05 21:00:00,37.239000000000004,117.76
2020-01-05 22:00:00,28.0,82.48
2020-01-05 23:00:00,17.0,144.334
2020-01-06 00:00:00,-1.0,72.95
2020-01-06 01:00:00,-4.01,72.95
2020-01-06 02:00:00,-4.2,65.582
2020-01-06 03:00:00,-4.01,62.074
2020-01-06 04:00:00,-4.14,68.38
2020-01-06 05:00:00,-4.17,72.95
2020-01-06 06:00:00,-4.01,72.95
2020-01-06 07:00:00,-0.1,64.658
2020-01-06 08:00:00,28.0,54.833
2020-01-06 09:00:00,43.87,57.75899999999999
2020-01-06 10:00:00,39.0,65.623
2020-01-06 11:00:00,41.435,74.653
2020-01-06 12:00:00,41.28,79.692
2020-01-06 13:00:00,40.491,81.14
2020-01-06 14:00:00,41.32,88.0
2020-01-06 15:00:00,42.668,80.727
2020-01-06 16:00:00,45.33,72.87
2020-01-06 17:00:00,51.41,110.33
2020-01-06 18:00:00,64.152,160.48
2020-01-06 19:00:00,71.0,125.38
2020-01-06 20:00:00,53.091,88.251
2020-01-06 21:00:00,44.435,77.08
2020-01-06 22:00:00,42.618,70.0
2020-01-06 23:00:00,34.251,61.023999999999994
2020-01-07 00:00:00,33.652,69.32
2020-01-07 01:00:00,30.439,68.148
2020-01-07 02:00:00,12.9,58.32
2020-01-07 03:00:00,-0.25,51.111000000000004
2020-01-07 04:00:00,-0.26,45.281000000000006
2020-01-07 05:00:00,-0.294,46.467
2020-01-07 06:00:00,-0.294,43.58
2020-01-07 07:00:00,0.0,57.97
2020-01-07 08:00:00,31.58,70.72800000000001
2020-01-07 09:00:00,36.55,69.76899999999999
2020-01-07 10:00:00,48.618,71.807
2020-01-07 11:00:00,46.21,69.916
2020-01-07 12:00:00,44.9,70.03399999999999
