,Original,Forecast
2020-01-01 00:00:00,49.0,51.432899475097656
2020-01-01 01:00:00,51.24,51.2993049621582
2020-01-01 02:00:00,48.55,48.924072265625
2020-01-01 03:00:00,36.909,46.0301513671875
2020-01-01 04:00:00,32.77,43.4466667175293
2020-01-01 05:00:00,31.69,41.985321044921875
2020-01-01 06:00:00,31.63,41.94730758666992
2020-01-01 07:00:00,31.545,44.36662673950195
2020-01-01 08:00:00,32.361999999999995,43.63803482055664
2020-01-01 09:00:00,33.616,44.389163970947266
2020-01-01 10:00:00,39.184,45.02201843261719
2020-01-01 11:00:00,45.675,52.36391067504883
2020-01-01 12:00:00,52.6,53.141353607177734
2020-01-01 13:00:00,49.0,53.81187057495117
2020-01-01 14:00:00,48.07899999999999,53.289424896240234
2020-01-01 15:00:00,47.706,50.17100524902344
2020-01-01 16:00:00,43.21,46.873477935791016
2020-01-01 17:00:00,53.95,49.73849868774414
2020-01-01 18:00:00,58.09,53.089988708496094
2020-01-01 19:00:00,46.17,38.41114807128906
2020-01-01 20:00:00,35.27,30.293182373046875
2020-01-01 21:00:00,32.77,23.184999465942383
2020-01-01 22:00:00,27.08,14.368268013000488
2020-01-01 23:00:00,14.0,9.157991409301758
2020-01-02 00:00:00,9.6,11.437295913696289
2020-01-02 01:00:00,-1.0,12.145648956298828
2020-01-02 02:00:00,-4.39,12.664846420288086
2020-01-02 03:00:00,-4.48,7.634548664093018
2020-01-02 04:00:00,-4.48,4.481307029724121
2020-01-02 05:00:00,-5.2,1.5695185661315918
2020-01-02 06:00:00,-5.0,1.0634924173355103
2020-01-02 07:00:00,-4.39,2.3988585472106934
2020-01-02 08:00:00,15.0,4.349462509155273
2020-01-02 09:00:00,30.0,4.3271050453186035
2020-01-02 10:00:00,42.428000000000004,12.293791770935059
2020-01-02 11:00:00,44.0,20.6189022064209
2020-01-02 12:00:00,35.0,26.924768447875977
2020-01-02 13:00:00,34.13,29.813213348388672
2020-01-02 14:00:00,34.0,28.88021469116211
2020-01-02 15:00:00,34.0,28.36737060546875
2020-01-02 16:00:00,39.0,27.933176040649414
2020-01-02 17:00:00,47.271,38.783931732177734
2020-01-02 18:00:00,56.821000000000005,52.8381233215332
2020-01-02 19:00:00,49.516999999999996,46.74054718017578
2020-01-02 20:00:00,46.928000000000004,39.82599639892578
2020-01-02 21:00:00,39.614000000000004,37.95048522949219
2020-01-02 22:00:00,34.621,34.64665985107422
2020-01-02 23:00:00,33.406,25.326923370361328
2020-01-03 00:00:00,30.52,20.33415412902832
2020-01-03 01:00:00,28.633000000000003,17.953163146972656
2020-01-03 02:00:00,27.033,17.23722267150879
2020-01-03 03:00:00,26.171999999999997,17.844144821166992
2020-01-03 04:00:00,23.651,19.519933700561523
2020-01-03 05:00:00,26.75,23.311120986938477
2020-01-03 06:00:00,30.52,25.699302673339844
2020-01-03 07:00:00,43.166000000000004,30.35785484313965
2020-01-03 08:00:00,43.74,35.80816650390625
2020-01-03 09:00:00,48.312,37.01356887817383
2020-01-03 10:00:00,53.203,46.79082489013672
2020-01-03 11:00:00,53.18,53.23235321044922
2020-01-03 12:00:00,48.57,48.98341751098633
2020-01-03 13:00:00,42.938,49.2060432434082
2020-01-03 14:00:00,42.225,48.05085754394531
2020-01-03 15:00:00,40.541,46.53194046020508
2020-01-03 16:00:00,41.083999999999996,48.28056716918945
2020-01-03 17:00:00,50.098,58.294002532958984
2020-01-03 18:00:00,58.284,63.41447830200195
2020-01-03 19:00:00,48.57,61.32749557495117
2020-01-03 20:00:00,46.961000000000006,55.34532165527344
2020-01-03 21:00:00,42.68,49.27869415283203
2020-01-03 22:00:00,41.07,47.46421813964844
2020-01-03 23:00:00,37.809,40.46458435058594
2020-01-04 00:00:00,34.830999999999996,43.1952018737793
2020-01-04 01:00:00,30.0,37.44635009765625
2020-01-04 02:00:00,28.069000000000003,32.35102081298828
2020-01-04 03:00:00,26.75,29.573667526245117
2020-01-04 04:00:00,25.031999999999996,26.246238708496094
2020-01-04 05:00:00,24.682,28.114540100097656
2020-01-04 06:00:00,24.598000000000003,31.852615356445312
2020-01-04 07:00:00,26.75,31.402462005615234
2020-01-04 08:00:00,29.694000000000003,31.567691802978516
2020-01-04 09:00:00,35.779,32.73600387573242
2020-01-04 10:00:00,40.0,40.298770904541016
2020-01-04 11:00:00,43.361999999999995,46.923091888427734
2020-01-04 12:00:00,43.99,47.027950286865234
2020-01-04 13:00:00,43.99,46.03214645385742
2020-01-04 14:00:00,46.17,46.03948211669922
2020-01-04 15:00:00,45.0,43.405738830566406
2020-01-04 16:00:00,38.96,43.568504333496094
2020-01-04 17:00:00,55.748999999999995,53.59388732910156
2020-01-04 18:00:00,70.88,64.8255844116211
2020-01-04 19:00:00,60.758,56.886749267578125
2020-01-04 20:00:00,48.8,48.299381256103516
2020-01-04 21:00:00,41.0,42.58579635620117
2020-01-04 22:00:00,39.066,42.33768844604492
2020-01-04 23:00:00,37.293,42.6038932800293
2020-01-05 00:00:00,46.69,42.662044525146484
2020-01-05 01:00:00,31.719,37.9039421081543
2020-01-05 02:00:00,30.513,34.74758529663086
2020-01-05 03:00:00,28.0,24.327194213867188
2020-01-05 04:00:00,28.0,12.804224014282227
2020-01-05 05:00:00,27.28,8.88805866241455
2020-01-05 06:00:00,26.35,9.16264820098877
2020-01-05 07:00:00,25.8,15.528337478637695
2020-01-05 08:00:00,25.36,30.961183547973633
2020-01-05 09:00:00,26.94,36.820655822753906
2020-01-05 10:00:00,36.727,44.62403869628906
2020-01-05 11:00:00,43.468,48.42280578613281
2020-01-05 12:00:00,37.489000000000004,43.879817962646484
2020-01-05 13:00:00,37.896,42.014137268066406
2020-01-05 14:00:00,42.354,40.743682861328125
2020-01-05 15:00:00,43.468,39.963417053222656
2020-01-05 16:00:00,39.888000000000005,39.58700180053711
2020-01-05 17:00:00,53.5,45.9218864440918
2020-01-05 18:00:00,66.37,53.05324172973633
2020-01-05 19:00:00,52.213,50.5829963684082
2020-01-05 20:00:00,45.117,44.02985763549805
2020-01-05 21:00:00,37.239000000000004,38.43266296386719
2020-01-05 22:00:00,28.0,29.837438583374023
2020-01-05 23:00:00,17.0,21.245576858520508
2020-01-06 00:00:00,-1.0,13.963725090026855
2020-01-06 01:00:00,-4.01,4.384710788726807
2020-01-06 02:00:00,-4.2,2.9379947185516357
2020-01-06 03:00:00,-4.01,1.3229820728302002
2020-01-06 04:00:00,-4.14,0.06704317778348923
2020-01-06 05:00:00,-4.17,-0.9251006841659546
2020-01-06 06:00:00,-4.01,-2.935595989227295
2020-01-06 07:00:00,-0.1,-1.5388622283935547
2020-01-06 08:00:00,28.0,-0.14028622210025787
2020-01-06 09:00:00,43.87,19.79172706604004
2020-01-06 10:00:00,39.0,39.88200378417969
2020-01-06 11:00:00,41.435,43.42686080932617
2020-01-06 12:00:00,41.28,39.18160629272461
2020-01-06 13:00:00,40.491,37.93825149536133
2020-01-06 14:00:00,41.32,38.22154235839844
2020-01-06 15:00:00,42.668,38.44818115234375
2020-01-06 16:00:00,45.33,41.035884857177734
2020-01-06 17:00:00,51.41,57.32282638549805
2020-01-06 18:00:00,64.152,75.85113525390625
2020-01-06 19:00:00,71.0,66.67497253417969
2020-01-06 20:00:00,53.091,58.24406814575195
2020-01-06 21:00:00,44.435,49.797332763671875
2020-01-06 22:00:00,42.618,45.090702056884766
2020-01-06 23:00:00,34.251,36.30562210083008
2020-01-07 00:00:00,33.652,35.92068862915039
2020-01-07 01:00:00,30.439,34.003814697265625
2020-01-07 02:00:00,12.9,24.518375396728516
2020-01-07 03:00:00,-0.25,26.566604614257812
2020-01-07 04:00:00,-0.26,12.302553176879883
2020-01-07 05:00:00,-0.294,3.5701990127563477
2020-01-07 06:00:00,-0.294,1.559591293334961
2020-01-07 07:00:00,0.0,3.2681660652160645
2020-01-07 08:00:00,31.58,10.97494888305664
2020-01-07 09:00:00,36.55,15.973764419555664
2020-01-07 10:00:00,48.618,31.870807647705078
2020-01-07 11:00:00,46.21,30.38350486755371
2020-01-07 12:00:00,44.9,27.787952423095703
2020-01-07 13:00:00,44.688,28.696378707885742
2020-01-07 14:00:00,37.99,31.85793113708496
2020-01-07 15:00:00,37.99,22.14553451538086
2020-01-07 16:00:00,43.643,26.115686416625977
2020-01-07 17:00:00,48.28,46.137245178222656
2020-01-07 18:00:00,50.51,56.238101959228516
2020-01-07 19:00:00,48.99,47.82780838012695
2020-01-07 20:00:00,46.785,40.497276306152344
2020-01-07 21:00:00,40.808,36.95089340209961
2020-01-07 22:00:00,36.912,34.938846588134766
2020-01-07 23:00:00,32.93,28.722843170166016
2020-01-08 00:00:00,28.83,32.505096435546875
2020-01-08 01:00:00,27.212,32.21718978881836
2020-01-08 02:00:00,25.01,30.192462921142578
2020-01-08 03:00:00,21.506,26.306774139404297
2020-01-08 04:00:00,20.854,29.146915435791016
2020-01-08 05:00:00,26.607,32.83417892456055
