maxiter,RMSE,MAE
5,20.585229118057068,11.338368657878988
10,20.322464844466772,11.108262863863755
15,20.485908641295183,11.3421583804829
20,20.104156802713508,10.885404319414135
25,19.86692705572709,10.667429845890252
30,19.767287430453127,11.728343984159602
35,19.958539743563918,11.488503890741882
40,19.448458213929143,11.28158565834836
45,19.96634969624218,10.905067499916393
50,19.859962570887767,10.700531506558534
55,20.082618960585485,11.098320342587305
60,19.868273423453488,10.64753569532865
65,19.84838698745235,10.712218951060928
70,19.910398066800354,10.787282879100843
75,19.8945992177434,10.675541290504531
80,19.88811927441779,10.688537428150909
85,19.887393097733,10.72314623115569
90,19.658563879561502,10.621528913243456
95,19.83228630083117,10.691359667715703
100,19.836509495780508,10.695476961536187
105,19.80263646587894,10.659302200705534
110,19.8584303307057,10.719324711660269
115,19.84523026590923,10.712168989602958
120,19.91521418497199,10.766031340559849
125,19.78074604687798,10.4519536501368
130,19.838043709458535,10.592621773301326
135,19.88426570832038,10.586958592536217
140,19.812379447405128,10.552650940081824
145,19.816424414095753,10.375932628516333
150,19.753341268684014,10.301976322932136
155,19.678108855504192,10.282428970934804
160,19.821615480699307,10.43331824899701
165,19.658321363055688,10.269172848050985
170,19.613624859431305,10.200658715995031
175,19.615678243474786,10.251669037305296
180,19.600675620518935,10.2518493971436
185,19.644290368816684,10.21958282377039
190,19.62307146476039,10.185287894390617
195,19.634124598150038,10.215011470546624
200,19.603849359337804,10.214986993658927
205,19.632260333603945,10.207243953287342
210,19.644511262505198,10.18978158222121
215,19.663402818642155,10.169913286747969
220,19.621349022553847,10.183028152104145
225,19.63504542185151,10.22411849716651
230,19.610053639091582,10.199915420964295
235,19.647275287202152,10.200243464978524
240,19.61817344078469,10.21584942101019
245,19.65555547339846,10.234373234795582
250,19.62411073885522,10.258951572646788
255,19.67584375237138,10.247962035716746
260,19.626103358725977,10.192888546475766
265,19.628238609288285,10.230341241007215
270,19.62850252208493,10.203313264273985
275,19.645769915559,10.220502375639304
280,19.643834916859372,10.23229934193726
285,19.633499755785223,10.213071648197028
290,19.62879002176521,10.222023503922047
295,19.636337767780944,10.253696007360594
