,Original,Forecast
2020-01-01 00:00:00,49.0,40.46747997427824
2020-01-01 01:00:00,51.24,34.67531775913225
2020-01-01 02:00:00,48.55,27.5401890853905
2020-01-01 03:00:00,36.909,23.883650178543146
2020-01-01 04:00:00,32.77,21.622425189116598
2020-01-01 05:00:00,31.69,20.648079333646695
2020-01-01 06:00:00,31.63,21.998788312882297
2020-01-01 07:00:00,31.545,26.922832417336632
2020-01-01 08:00:00,32.361999999999995,31.242277880743362
2020-01-01 09:00:00,33.616,36.31596533186002
2020-01-01 10:00:00,39.184,43.40324349553306
2020-01-01 11:00:00,45.675,47.54454329636649
2020-01-01 12:00:00,52.6,48.618414477886866
2020-01-01 13:00:00,49.0,49.93805011198364
2020-01-01 14:00:00,48.07899999999999,47.98245576736277
2020-01-01 15:00:00,47.706,45.73698916472066
2020-01-01 16:00:00,43.21,46.99232316589659
2020-01-01 17:00:00,53.95,64.13168623299518
2020-01-01 18:00:00,58.09,85.0673175769488
2020-01-01 19:00:00,46.17,66.9688470254194
2020-01-01 20:00:00,35.27,51.845330294805926
2020-01-01 21:00:00,32.77,43.82728390691541
2020-01-01 22:00:00,27.08,40.67215049587753
2020-01-01 23:00:00,14.0,32.895435669558
2020-01-02 00:00:00,9.6,17.277536309532387
2020-01-02 01:00:00,-1.0,16.961036943934843
2020-01-02 02:00:00,-4.39,14.291665344667237
2020-01-02 03:00:00,-4.48,11.813919749602654
2020-01-02 04:00:00,-4.48,11.530279214690758
2020-01-02 05:00:00,-5.2,12.559052310079021
2020-01-02 06:00:00,-5.0,15.186264950640112
2020-01-02 07:00:00,-4.39,20.697564444479347
2020-01-02 08:00:00,15.0,25.54832422373303
2020-01-02 09:00:00,30.0,30.96725656346677
2020-01-02 10:00:00,42.428000000000004,38.569360136607315
2020-01-02 11:00:00,44.0,43.747761973998784
2020-01-02 12:00:00,35.0,46.28127142094699
2020-01-02 13:00:00,34.13,47.28259204476668
2020-01-02 14:00:00,34.0,45.86106161833696
2020-01-02 15:00:00,34.0,44.23826659644261
2020-01-02 16:00:00,39.0,44.837613237792915
2020-01-02 17:00:00,47.271,61.185493464726214
2020-01-02 18:00:00,56.821000000000005,79.63516637928099
2020-01-02 19:00:00,49.516999999999996,62.6748251599258
2020-01-02 20:00:00,46.928000000000004,48.34670286657052
2020-01-02 21:00:00,39.614000000000004,41.31420681285945
2020-01-02 22:00:00,34.621,37.84176790148282
2020-01-02 23:00:00,33.406,29.296764252278084
2020-01-03 00:00:00,30.52,35.11506546171956
2020-01-03 01:00:00,28.633000000000003,29.620775545226067
2020-01-03 02:00:00,27.033,23.789921050470106
2020-01-03 03:00:00,26.171999999999997,19.85852254702665
2020-01-03 04:00:00,23.651,17.707548573545772
2020-01-03 05:00:00,26.75,16.914844975652564
2020-01-03 06:00:00,30.52,17.908888333364
2020-01-03 07:00:00,43.166000000000004,21.508035533976557
2020-01-03 08:00:00,43.74,27.801279213638434
2020-01-03 09:00:00,48.312,33.99550113936813
2020-01-03 10:00:00,53.203,41.79773288048126
2020-01-03 11:00:00,53.18,45.937810197210794
2020-01-03 12:00:00,48.57,46.167643069067914
2020-01-03 13:00:00,42.938,46.48688564014991
