,Original,Forecast
2020-01-01 00:00:00,49.0,40.61876508055552
2020-01-01 01:00:00,51.24,40.640637947994676
2020-01-01 02:00:00,48.55,37.48233578956793
2020-01-01 03:00:00,36.909,32.43897213878331
2020-01-01 04:00:00,32.77,29.23430062463027
2020-01-01 05:00:00,31.69,27.391888568448035
2020-01-01 06:00:00,31.63,26.62447491270529
2020-01-01 07:00:00,31.545,28.01476731667207
2020-01-01 08:00:00,32.361999999999995,31.33241413079122
2020-01-01 09:00:00,33.616,34.371203425871244
2020-01-01 10:00:00,39.184,36.0372611041276
2020-01-01 11:00:00,45.675,41.21722233787155
2020-01-01 12:00:00,52.6,44.722998759446284
2020-01-01 13:00:00,49.0,47.65193311251945
2020-01-01 14:00:00,48.07899999999999,49.71343408319215
2020-01-01 15:00:00,47.706,46.64100715575205
2020-01-01 16:00:00,43.21,42.624339764388985
2020-01-01 17:00:00,53.95,39.26582055046175
2020-01-01 18:00:00,58.09,42.69767073803893
2020-01-01 19:00:00,46.17,39.53486165670247
2020-01-01 20:00:00,35.27,33.64990815206761
2020-01-01 21:00:00,32.77,28.71966359330603
2020-01-01 22:00:00,27.08,23.422530061913818
2020-01-01 23:00:00,14.0,16.771981357877745
2020-01-02 00:00:00,9.6,10.975103048128577
2020-01-02 01:00:00,-1.0,7.377343156690893
2020-01-02 02:00:00,-4.39,3.0109555820808334
2020-01-02 03:00:00,-4.48,-1.117730162435258
2020-01-02 04:00:00,-4.48,-3.412365203770622
2020-01-02 05:00:00,-5.2,-4.976925995827727
2020-01-02 06:00:00,-5.0,-5.754594814966611
2020-01-02 07:00:00,-4.39,-2.866263567938439
2020-01-02 08:00:00,15.0,4.542193850668164
2020-01-02 09:00:00,30.0,12.595553347526153
2020-01-02 10:00:00,42.428000000000004,17.26090649064384
2020-01-02 11:00:00,44.0,23.511536219562696
2020-01-02 12:00:00,35.0,27.312116568776627
2020-01-02 13:00:00,34.13,29.310711902819182
2020-01-02 14:00:00,34.0,31.110309095292433
2020-01-02 15:00:00,34.0,29.798485041410665
2020-01-02 16:00:00,39.0,29.45926653272861
2020-01-02 17:00:00,47.271,32.121011478468944
2020-01-02 18:00:00,56.821000000000005,42.261411369756715
2020-01-02 19:00:00,49.516999999999996,45.540379530193036
2020-01-02 20:00:00,46.928000000000004,44.88909893066488
2020-01-02 21:00:00,39.614000000000004,45.12882739928941
2020-01-02 22:00:00,34.621,42.55220827192297
2020-01-02 23:00:00,33.406,33.55490961688867
2020-01-03 00:00:00,30.52,25.408191344330998
2020-01-03 01:00:00,28.633000000000003,23.239340066075915
2020-01-03 02:00:00,27.033,19.04295980209961
2020-01-03 03:00:00,26.171999999999997,18.428052815252382
2020-01-03 04:00:00,23.651,19.46441563871763
2020-01-03 05:00:00,26.75,20.902879003472364
2020-01-03 06:00:00,30.52,22.25629020363619
2020-01-03 07:00:00,43.166000000000004,26.937821864282313
2020-01-03 08:00:00,43.74,35.83675211934194
2020-01-03 09:00:00,48.312,44.298209685933635
2020-01-03 10:00:00,53.203,49.797968863133974
2020-01-03 11:00:00,53.18,56.05609423349815
2020-01-03 12:00:00,48.57,56.07896362081393
2020-01-03 13:00:00,42.938,56.0109265178651
2020-01-03 14:00:00,42.225,55.788652771899606
2020-01-03 15:00:00,40.541,52.80193728178455
2020-01-03 16:00:00,41.083999999999996,52.49042122930533
2020-01-03 17:00:00,50.098,55.44962409336217
2020-01-03 18:00:00,58.284,64.96340330856286
2020-01-03 19:00:00,48.57,66.72934820868409
2020-01-03 20:00:00,46.961000000000006,62.95154932218201
2020-01-03 21:00:00,42.68,58.50108594838481
