,Original,Forecast
2020-01-01 00:00:00,49.0,48.658321380615234
2020-01-01 01:00:00,51.24,43.92378616333008
2020-01-01 02:00:00,48.55,37.1349983215332
2020-01-01 03:00:00,36.909,31.890947341918945
2020-01-01 04:00:00,32.77,28.77564811706543
2020-01-01 05:00:00,31.69,28.248394012451172
2020-01-01 06:00:00,31.63,28.756811141967773
2020-01-01 07:00:00,31.545,32.7512321472168
2020-01-01 08:00:00,32.361999999999995,35.786354064941406
2020-01-01 09:00:00,33.616,39.6446418762207
2020-01-01 10:00:00,39.184,45.941036224365234
2020-01-01 11:00:00,45.675,49.541351318359375
2020-01-01 12:00:00,52.6,51.473419189453125
2020-01-01 13:00:00,49.0,54.03981018066406
2020-01-01 14:00:00,48.07899999999999,53.36116409301758
2020-01-01 15:00:00,47.706,49.97679901123047
2020-01-01 16:00:00,43.21,46.338375091552734
2020-01-01 17:00:00,53.95,52.16065216064453
2020-01-01 18:00:00,58.09,57.373023986816406
2020-01-01 19:00:00,46.17,43.323116302490234
2020-01-01 20:00:00,35.27,33.5081901550293
2020-01-01 21:00:00,32.77,28.20526695251465
2020-01-01 22:00:00,27.08,26.0859317779541
2020-01-01 23:00:00,14.0,18.653545379638672
2020-01-02 00:00:00,9.6,20.187519073486328
2020-01-02 01:00:00,-1.0,15.959029197692871
2020-01-02 02:00:00,-4.39,10.330196380615234
2020-01-02 03:00:00,-4.48,5.594028472900391
2020-01-02 04:00:00,-4.48,3.251042127609253
2020-01-02 05:00:00,-5.2,1.9749253988265991
2020-01-02 06:00:00,-5.0,1.0881901979446411
2020-01-02 07:00:00,-4.39,3.6102068424224854
2020-01-02 08:00:00,15.0,8.911776542663574
2020-01-02 09:00:00,30.0,13.518172264099121
2020-01-02 10:00:00,42.428000000000004,21.482879638671875
2020-01-02 11:00:00,44.0,26.661212921142578
2020-01-02 12:00:00,35.0,30.460241317749023
2020-01-02 13:00:00,34.13,31.30023193359375
2020-01-02 14:00:00,34.0,30.404407501220703
2020-01-02 15:00:00,34.0,29.320064544677734
2020-01-02 16:00:00,39.0,28.27829360961914
2020-01-02 17:00:00,47.271,42.38675308227539
2020-01-02 18:00:00,56.821000000000005,53.338653564453125
2020-01-02 19:00:00,49.516999999999996,43.764156341552734
2020-01-02 20:00:00,46.928000000000004,37.70321273803711
2020-01-02 21:00:00,39.614000000000004,37.344688415527344
2020-01-02 22:00:00,34.621,35.04027557373047
2020-01-02 23:00:00,33.406,23.84325408935547
2020-01-03 00:00:00,30.52,17.67412567138672
2020-01-03 01:00:00,28.633000000000003,14.203109741210938
2020-01-03 02:00:00,27.033,11.633195877075195
2020-01-03 03:00:00,26.171999999999997,13.529471397399902
2020-01-03 04:00:00,23.651,15.049835205078125
2020-01-03 05:00:00,26.75,18.081966400146484
2020-01-03 06:00:00,30.52,20.720849990844727
2020-01-03 07:00:00,43.166000000000004,26.761493682861328
2020-01-03 08:00:00,43.74,36.49692153930664
2020-01-03 09:00:00,48.312,45.738975524902344
2020-01-03 10:00:00,53.203,55.655181884765625
2020-01-03 11:00:00,53.18,59.93020248413086
2020-01-03 12:00:00,48.57,55.88644790649414
2020-01-03 13:00:00,42.938,53.74040985107422
2020-01-03 14:00:00,42.225,50.31555938720703
2020-01-03 15:00:00,40.541,47.911354064941406
2020-01-03 16:00:00,41.083999999999996,48.69589614868164
2020-01-03 17:00:00,50.098,63.637184143066406
2020-01-03 18:00:00,58.284,76.1651611328125
2020-01-03 19:00:00,48.57,64.48947143554688
2020-01-03 20:00:00,46.961000000000006,54.96635437011719
2020-01-03 21:00:00,42.68,48.32749557495117
2020-01-03 22:00:00,41.07,43.984214782714844
2020-01-03 23:00:00,37.809,36.08563232421875
2020-01-04 00:00:00,34.830999999999996,38.21953201293945
2020-01-04 01:00:00,30.0,34.36225891113281
2020-01-04 02:00:00,28.069000000000003,28.978900909423828
2020-01-04 03:00:00,26.75,24.762502670288086
2020-01-04 04:00:00,25.031999999999996,21.367496490478516
2020-01-04 05:00:00,24.682,20.921253204345703
2020-01-04 06:00:00,24.598000000000003,21.971323013305664
2020-01-04 07:00:00,26.75,27.065078735351562
2020-01-04 08:00:00,29.694000000000003,28.71057891845703
2020-01-04 09:00:00,35.779,33.855106353759766
2020-01-04 10:00:00,40.0,42.581974029541016
2020-01-04 11:00:00,43.361999999999995,47.40497589111328
2020-01-04 12:00:00,43.99,47.720542907714844
2020-01-04 13:00:00,43.99,46.791229248046875
2020-01-04 14:00:00,46.17,45.67875671386719
2020-01-04 15:00:00,45.0,43.923362731933594
2020-01-04 16:00:00,38.96,44.18729019165039
2020-01-04 17:00:00,55.748999999999995,55.365379333496094
2020-01-04 18:00:00,70.88,65.87916564941406
2020-01-04 19:00:00,60.758,54.94647979736328
2020-01-04 20:00:00,48.8,46.76567459106445
2020-01-04 21:00:00,41.0,41.32700729370117
2020-01-04 22:00:00,39.066,36.86017990112305
2020-01-04 23:00:00,37.293,32.29833984375
2020-01-05 00:00:00,46.69,32.55694580078125
2020-01-05 01:00:00,31.719,28.063831329345703
2020-01-05 02:00:00,30.513,24.9362850189209
2020-01-05 03:00:00,28.0,20.743619918823242
2020-01-05 04:00:00,28.0,18.010643005371094
2020-01-05 05:00:00,27.28,16.305038452148438
2020-01-05 06:00:00,26.35,15.865656852722168
2020-01-05 07:00:00,25.8,17.71891212463379
2020-01-05 08:00:00,25.36,19.113296508789062
2020-01-05 09:00:00,26.94,22.08871841430664
2020-01-05 10:00:00,36.727,26.998689651489258
2020-01-05 11:00:00,43.468,30.508808135986328
2020-01-05 12:00:00,37.489000000000004,32.8392333984375
2020-01-05 13:00:00,37.896,34.1698112487793
2020-01-05 14:00:00,42.354,35.29589080810547
2020-01-05 15:00:00,43.468,33.48591232299805
2020-01-05 16:00:00,39.888000000000005,31.815387725830078
2020-01-05 17:00:00,53.5,41.937896728515625
2020-01-05 18:00:00,66.37,53.18351745605469
2020-01-05 19:00:00,52.213,46.272403717041016
2020-01-05 20:00:00,45.117,37.98173904418945
2020-01-05 21:00:00,37.239000000000004,32.20428466796875
2020-01-05 22:00:00,28.0,28.2358341217041
2020-01-05 23:00:00,17.0,21.954463958740234
2020-01-06 00:00:00,-1.0,21.652690887451172
2020-01-06 01:00:00,-4.01,15.119675636291504
2020-01-06 02:00:00,-4.2,11.509512901306152
2020-01-06 03:00:00,-4.01,8.903907775878906
2020-01-06 04:00:00,-4.14,7.218428134918213
2020-01-06 05:00:00,-4.17,7.018590927124023
2020-01-06 06:00:00,-4.01,7.075257301330566
2020-01-06 07:00:00,-0.1,10.141633033752441
2020-01-06 08:00:00,28.0,18.027074813842773
2020-01-06 09:00:00,43.87,29.790771484375
2020-01-06 10:00:00,39.0,39.36367416381836
2020-01-06 11:00:00,41.435,43.87077331542969
2020-01-06 12:00:00,41.28,41.192481994628906
2020-01-06 13:00:00,40.491,40.3976936340332
2020-01-06 14:00:00,41.32,41.12773513793945
2020-01-06 15:00:00,42.668,41.357093811035156
2020-01-06 16:00:00,45.33,43.0803337097168
2020-01-06 17:00:00,51.41,56.62271499633789
2020-01-06 18:00:00,64.152,73.9664535522461
2020-01-06 19:00:00,71.0,66.435302734375
2020-01-06 20:00:00,53.091,59.6364631652832
2020-01-06 21:00:00,44.435,51.69542694091797
2020-01-06 22:00:00,42.618,46.15147018432617
2020-01-06 23:00:00,34.251,38.206241607666016
2020-01-07 00:00:00,33.652,32.265235900878906
2020-01-07 01:00:00,30.439,26.631948471069336
2020-01-07 02:00:00,12.9,21.036136627197266
2020-01-07 03:00:00,-0.25,15.762486457824707
2020-01-07 04:00:00,-0.26,12.878711700439453
2020-01-07 05:00:00,-0.294,10.829214096069336
2020-01-07 06:00:00,-0.294,9.602766990661621
2020-01-07 07:00:00,0.0,11.394472122192383
2020-01-07 08:00:00,31.58,19.672780990600586
2020-01-07 09:00:00,36.55,26.99135971069336
2020-01-07 10:00:00,48.618,26.967031478881836
2020-01-07 11:00:00,46.21,29.3992977142334
2020-01-07 12:00:00,44.9,29.56355094909668
2020-01-07 13:00:00,44.688,28.793136596679688
2020-01-07 14:00:00,37.99,29.209346771240234
2020-01-07 15:00:00,37.99,28.09284782409668
2020-01-07 16:00:00,43.643,29.338563919067383
2020-01-07 17:00:00,48.28,36.689178466796875
2020-01-07 18:00:00,50.51,46.902122497558594
2020-01-07 19:00:00,48.99,43.53276443481445
2020-01-07 20:00:00,46.785,35.95223617553711
2020-01-07 21:00:00,40.808,31.745946884155273
2020-01-07 22:00:00,36.912,29.975452423095703
2020-01-07 23:00:00,32.93,26.523279190063477
2020-01-08 00:00:00,28.83,26.46434783935547
2020-01-08 01:00:00,27.212,26.91419792175293
2020-01-08 02:00:00,25.01,24.354454040527344
2020-01-08 03:00:00,21.506,22.91735076904297
2020-01-08 04:00:00,20.854,25.67687225341797
2020-01-08 05:00:00,26.607,29.08954620361328
2020-01-08 06:00:00,33.07,31.05429458618164
2020-01-08 07:00:00,41.49,34.23853302001953
2020-01-08 08:00:00,45.0,49.47134017944336
2020-01-08 09:00:00,46.56,57.86845016479492
2020-01-08 10:00:00,51.0,63.62928771972656
2020-01-08 11:00:00,54.99,66.32848358154297
2020-01-08 12:00:00,56.52,66.37034606933594
2020-01-08 13:00:00,62.0,65.93626403808594
2020-01-08 14:00:00,62.0,65.59998321533203
2020-01-08 15:00:00,69.49,65.876220703125
2020-01-08 16:00:00,93.046,67.77749633789062
2020-01-08 17:00:00,126.64,76.73162078857422
2020-01-08 18:00:00,170.0,86.61326599121094
2020-01-08 19:00:00,86.5,78.74449920654297
2020-01-08 20:00:00,55.229,67.48966979980469
2020-01-08 21:00:00,47.97,58.528114318847656
2020-01-08 22:00:00,44.846000000000004,51.550228118896484
2020-01-08 23:00:00,41.611999999999995,41.207603454589844
2020-01-09 00:00:00,42.467,48.70184326171875
2020-01-09 01:00:00,38.536,43.30802536010742
2020-01-09 02:00:00,31.997,39.27334213256836
2020-01-09 03:00:00,30.74,37.488319396972656
2020-01-09 04:00:00,28.81,37.84183883666992
2020-01-09 05:00:00,28.879,40.076026916503906
2020-01-09 06:00:00,34.0,42.46333694458008
2020-01-09 07:00:00,44.775,46.485107421875
2020-01-09 08:00:00,48.77,59.12675857543945
2020-01-09 09:00:00,54.17,67.81806945800781
2020-01-09 10:00:00,62.5,73.89757537841797
2020-01-09 11:00:00,69.18,77.0278549194336
2020-01-09 12:00:00,69.4,74.29817962646484
2020-01-09 13:00:00,70.01,73.39337158203125
2020-01-09 14:00:00,61.95,70.50010681152344
2020-01-09 15:00:00,55.0,65.82320404052734
2020-01-09 16:00:00,54.32,67.59124755859375
2020-01-09 17:00:00,61.95,75.11469268798828
2020-01-09 18:00:00,75.0,87.40043640136719
2020-01-09 19:00:00,57.955,61.42752456665039
2020-01-09 20:00:00,51.96,48.572486877441406
2020-01-09 21:00:00,44.32,41.34996032714844
2020-01-09 22:00:00,44.739,37.4917106628418
2020-01-09 23:00:00,40.483000000000004,35.702980041503906
2020-01-10 00:00:00,44.0,40.381072998046875
2020-01-10 01:00:00,43.0,38.57713317871094
2020-01-10 02:00:00,41.82,34.636024475097656
2020-01-10 03:00:00,35.48,32.47775650024414
2020-01-10 04:00:00,33.75,30.67245101928711
2020-01-10 05:00:00,35.523,31.983081817626953
2020-01-10 06:00:00,34.366,35.06867218017578
2020-01-10 07:00:00,45.68,42.2127571105957
2020-01-10 08:00:00,51.056000000000004,51.10817337036133
2020-01-10 09:00:00,58.007,57.08993911743164
2020-01-10 10:00:00,58.76,54.29294967651367
2020-01-10 11:00:00,49.475,50.91080093383789
2020-01-10 12:00:00,42.647,44.89018630981445
2020-01-10 13:00:00,36.66,40.818572998046875
