,Original,Forecast
2020-01-01 00:00:00,49.0,41.88817596435547
2020-01-01 01:00:00,51.24,41.38910675048828
2020-01-01 02:00:00,48.55,40.41004943847656
2020-01-01 03:00:00,36.909,38.772911071777344
2020-01-01 04:00:00,32.77,38.88788604736328
2020-01-01 05:00:00,31.69,38.98290252685547
2020-01-01 06:00:00,31.63,39.290122985839844
2020-01-01 07:00:00,31.545,42.676822662353516
2020-01-01 08:00:00,32.361999999999995,41.50239562988281
2020-01-01 09:00:00,33.616,39.663211822509766
2020-01-01 10:00:00,39.184,41.55642318725586
2020-01-01 11:00:00,45.675,41.563377380371094
2020-01-01 12:00:00,52.6,42.0794677734375
2020-01-01 13:00:00,49.0,43.58320617675781
2020-01-01 14:00:00,48.07899999999999,42.419673919677734
2020-01-01 15:00:00,47.706,39.963714599609375
2020-01-01 16:00:00,43.21,39.14297866821289
2020-01-01 17:00:00,53.95,48.89628601074219
2020-01-01 18:00:00,58.09,59.231632232666016
2020-01-01 19:00:00,46.17,48.85165023803711
2020-01-01 20:00:00,35.27,38.31673812866211
2020-01-01 21:00:00,32.77,32.398963928222656
2020-01-01 22:00:00,27.08,28.349010467529297
2020-01-01 23:00:00,14.0,19.321136474609375
2020-01-02 00:00:00,9.6,18.453685760498047
2020-01-02 01:00:00,-1.0,8.146455764770508
2020-01-02 02:00:00,-4.39,0.8969022035598755
2020-01-02 03:00:00,-4.48,-3.349947214126587
2020-01-02 04:00:00,-4.48,-4.760871887207031
2020-01-02 05:00:00,-5.2,-5.7793450355529785
2020-01-02 06:00:00,-5.0,-6.40692663192749
2020-01-02 07:00:00,-4.39,-5.404471397399902
2020-01-02 08:00:00,15.0,-2.7531533241271973
2020-01-02 09:00:00,30.0,3.829807758331299
2020-01-02 10:00:00,42.428000000000004,14.711287498474121
2020-01-02 11:00:00,44.0,27.7695255279541
2020-01-02 12:00:00,35.0,35.6890983581543
2020-01-02 13:00:00,34.13,38.07762145996094
2020-01-02 14:00:00,34.0,38.498233795166016
2020-01-02 15:00:00,34.0,36.15534591674805
2020-01-02 16:00:00,39.0,34.756710052490234
2020-01-02 17:00:00,47.271,48.97570037841797
2020-01-02 18:00:00,56.821000000000005,63.821533203125
2020-01-02 19:00:00,49.516999999999996,58.78945541381836
2020-01-02 20:00:00,46.928000000000004,50.68593978881836
2020-01-02 21:00:00,39.614000000000004,47.24019241333008
2020-01-02 22:00:00,34.621,45.16006851196289
2020-01-02 23:00:00,33.406,37.333274841308594
2020-01-03 00:00:00,30.52,23.789358139038086
2020-01-03 01:00:00,28.633000000000003,23.2656192779541
2020-01-03 02:00:00,27.033,24.42194938659668
2020-01-03 03:00:00,26.171999999999997,27.497608184814453
2020-01-03 04:00:00,23.651,30.148971557617188
2020-01-03 05:00:00,26.75,33.08626937866211
2020-01-03 06:00:00,30.52,35.16191101074219
2020-01-03 07:00:00,43.166000000000004,41.148494720458984
2020-01-03 08:00:00,43.74,48.12168502807617
2020-01-03 09:00:00,48.312,56.32863998413086
2020-01-03 10:00:00,53.203,65.6597900390625
2020-01-03 11:00:00,53.18,66.67957305908203
2020-01-03 12:00:00,48.57,57.2678337097168
2020-01-03 13:00:00,42.938,53.29423522949219
2020-01-03 14:00:00,42.225,50.329139709472656
2020-01-03 15:00:00,40.541,48.557525634765625
2020-01-03 16:00:00,41.083999999999996,50.004249572753906
2020-01-03 17:00:00,50.098,63.35968780517578
2020-01-03 18:00:00,58.284,70.77750396728516
2020-01-03 19:00:00,48.57,58.520389556884766
2020-01-03 20:00:00,46.961000000000006,50.264583587646484
2020-01-03 21:00:00,42.68,44.86992263793945
2020-01-03 22:00:00,41.07,41.02392578125
2020-01-03 23:00:00,37.809,37.56757354736328
2020-01-04 00:00:00,34.830999999999996,43.13412857055664
2020-01-04 01:00:00,30.0,41.83638381958008
2020-01-04 02:00:00,28.069000000000003,40.5010871887207
2020-01-04 03:00:00,26.75,38.180328369140625
2020-01-04 04:00:00,25.031999999999996,36.05950164794922
2020-01-04 05:00:00,24.682,36.67961120605469
2020-01-04 06:00:00,24.598000000000003,38.64826583862305
2020-01-04 07:00:00,26.75,43.545509338378906
2020-01-04 08:00:00,29.694000000000003,44.35015869140625
2020-01-04 09:00:00,35.779,45.404117584228516
2020-01-04 10:00:00,40.0,48.63631057739258
2020-01-04 11:00:00,43.361999999999995,47.733970642089844
2020-01-04 12:00:00,43.99,45.55312728881836
2020-01-04 13:00:00,43.99,43.31916427612305
2020-01-04 14:00:00,46.17,42.14936447143555
2020-01-04 15:00:00,45.0,41.185001373291016
2020-01-04 16:00:00,38.96,42.10074996948242
2020-01-04 17:00:00,55.748999999999995,50.6645622253418
2020-01-04 18:00:00,70.88,62.609107971191406
2020-01-04 19:00:00,60.758,54.1817512512207
2020-01-04 20:00:00,48.8,45.656028747558594
2020-01-04 21:00:00,41.0,40.18520736694336
2020-01-04 22:00:00,39.066,37.51789474487305
2020-01-04 23:00:00,37.293,35.61509704589844
2020-01-05 00:00:00,46.69,36.074832916259766
2020-01-05 01:00:00,31.719,34.21717834472656
2020-01-05 02:00:00,30.513,33.07302474975586
2020-01-05 03:00:00,28.0,29.974992752075195
2020-01-05 04:00:00,28.0,25.06174087524414
2020-01-05 05:00:00,27.28,21.1413631439209
2020-01-05 06:00:00,26.35,18.03156852722168
2020-01-05 07:00:00,25.8,21.83255386352539
2020-01-05 08:00:00,25.36,22.076457977294922
2020-01-05 09:00:00,26.94,24.614778518676758
2020-01-05 10:00:00,36.727,28.006103515625
2020-01-05 11:00:00,43.468,30.520633697509766
2020-01-05 12:00:00,37.489000000000004,32.147705078125
2020-01-05 13:00:00,37.896,33.696563720703125
2020-01-05 14:00:00,42.354,35.337833404541016
2020-01-05 15:00:00,43.468,33.55621337890625
2020-01-05 16:00:00,39.888000000000005,31.879934310913086
2020-01-05 17:00:00,53.5,40.94142150878906
2020-01-05 18:00:00,66.37,53.948585510253906
2020-01-05 19:00:00,52.213,49.629669189453125
2020-01-05 20:00:00,45.117,41.92896270751953
2020-01-05 21:00:00,37.239000000000004,33.867591857910156
2020-01-05 22:00:00,28.0,26.84208106994629
2020-01-05 23:00:00,17.0,11.367463111877441
2020-01-06 00:00:00,-1.0,0.6023861169815063
2020-01-06 01:00:00,-4.01,-3.783094644546509
2020-01-06 02:00:00,-4.2,-5.638848781585693
2020-01-06 03:00:00,-4.01,-7.092648029327393
2020-01-06 04:00:00,-4.14,-7.958796977996826
2020-01-06 05:00:00,-4.17,-8.121297836303711
2020-01-06 06:00:00,-4.01,-8.001839637756348
2020-01-06 07:00:00,-0.1,-7.554977893829346
2020-01-06 08:00:00,28.0,-5.43917989730835
2020-01-06 09:00:00,43.87,5.522724628448486
2020-01-06 10:00:00,39.0,35.91438674926758
2020-01-06 11:00:00,41.435,42.82862854003906
2020-01-06 12:00:00,41.28,39.57835006713867
2020-01-06 13:00:00,40.491,38.992462158203125
2020-01-06 14:00:00,41.32,40.40098190307617
2020-01-06 15:00:00,42.668,40.31182098388672
2020-01-06 16:00:00,45.33,40.67119216918945
2020-01-06 17:00:00,51.41,52.227420806884766
2020-01-06 18:00:00,64.152,66.46793365478516
2020-01-06 19:00:00,71.0,59.03291702270508
2020-01-06 20:00:00,53.091,50.67973709106445
2020-01-06 21:00:00,44.435,45.72220993041992
2020-01-06 22:00:00,42.618,43.03154373168945
2020-01-06 23:00:00,34.251,40.24433517456055
2020-01-07 00:00:00,33.652,41.36740493774414
