,Original,Forecast
2020-04-01 00:00:00,33.803000000000004,32.26869559930784
2020-04-01 01:00:00,28.89,28.158378832840953
2020-04-01 02:00:00,30.29,26.2069519418928
2020-04-01 03:00:00,33.356,24.161311120725177
2020-04-01 04:00:00,30.002,26.106168494235174
2020-04-01 05:00:00,28.59,23.377396129498806
2020-04-01 06:00:00,28.0,27.134757665052526
2020-04-01 07:00:00,30.99,24.489488079390934
2020-04-01 08:00:00,35.1,32.985569682575516
2020-04-01 09:00:00,41.268,36.89900206324538
2020-04-01 10:00:00,37.82,38.394044455024805
2020-04-01 11:00:00,31.504,38.17378415460162
2020-04-01 12:00:00,30.622,37.070399445846995
2020-04-01 13:00:00,32.14,39.26724123681229
2020-04-01 14:00:00,28.774,38.22000172382669
2020-04-01 15:00:00,27.63,36.30197278229219
2020-04-01 16:00:00,28.738000000000003,36.430095827528525
2020-04-01 17:00:00,30.4,38.648244184836365
2020-04-01 18:00:00,34.12,46.55536024954213
2020-04-01 19:00:00,41.645,47.565079032325535
2020-04-01 20:00:00,44.82,47.35443056949615
2020-04-01 21:00:00,43.633,43.39406869560497
2020-04-01 22:00:00,33.31,37.72974685421779
2020-04-01 23:00:00,27.845,30.850283657096202
2020-04-02 00:00:00,35.522,27.16246977405589
2020-04-02 01:00:00,27.21,21.709032758442586
2020-04-02 02:00:00,27.656999999999996,19.005876712806664
2020-04-02 03:00:00,25.828000000000003,17.79219569917055
2020-04-02 04:00:00,20.352999999999998,18.702057463790133
2020-04-02 05:00:00,20.64,17.69660250095187
2020-04-02 06:00:00,15.87,17.50548563974875
2020-04-02 07:00:00,17.14,20.615977906638285
2020-04-02 08:00:00,24.0,27.216522668122806
2020-04-02 09:00:00,29.62,29.640937878517736
2020-04-02 10:00:00,27.24,29.440163888198562
2020-04-02 11:00:00,25.0,32.42301093309271
2020-04-02 12:00:00,20.322,31.723637656452674
2020-04-02 13:00:00,22.4,33.52475508316898
2020-04-02 14:00:00,17.8,31.419340917577117
2020-04-02 15:00:00,16.804000000000002,30.156559154710664
2020-04-02 16:00:00,16.698,30.65139180381365
2020-04-02 17:00:00,22.016,33.685856106979884
2020-04-02 18:00:00,29.93,41.852358344113334
2020-04-02 19:00:00,37.0,42.8527708944884
2020-04-02 20:00:00,39.354,45.57124572062938
2020-04-02 21:00:00,42.69,41.51391103764758
2020-04-02 22:00:00,40.193000000000005,35.652129874197314
2020-04-02 23:00:00,32.376,32.118176418609565
2020-04-03 00:00:00,34.0,30.447041742773123
2020-04-03 01:00:00,28.16,27.345233671545614
2020-04-03 02:00:00,30.33,25.826669010507782
2020-04-03 03:00:00,33.454,24.780100439006535
2020-04-03 04:00:00,33.258,28.896743349175527
2020-04-03 05:00:00,31.455,27.94803007346113
2020-04-03 06:00:00,30.581999999999997,28.095573351242244
2020-04-03 07:00:00,31.115,29.734714942855636
2020-04-03 08:00:00,32.52,36.260406532211555
2020-04-03 09:00:00,35.01,38.49912568475523
2020-04-03 10:00:00,37.0,38.0695212305148
2020-04-03 11:00:00,34.381,37.27927236890253
2020-04-03 12:00:00,36.049,35.58225986275618
2020-04-03 13:00:00,36.461999999999996,36.26408578924975
2020-04-03 14:00:00,33.426,35.86581494548691
2020-04-03 15:00:00,29.844,33.9479006922509
2020-04-03 16:00:00,28.51,33.35979911163129
2020-04-03 17:00:00,31.2,36.97468130973417
2020-04-03 18:00:00,40.53,49.2147837911921
2020-04-03 19:00:00,48.481,54.16183138417671
2020-04-03 20:00:00,48.01,51.456887850451906
2020-04-03 21:00:00,44.262,46.32998979180355
2020-04-03 22:00:00,34.86,38.82044366512448
2020-04-03 23:00:00,30.283,35.36954827238781
2020-04-04 00:00:00,36.096,27.336966488694042
2020-04-04 01:00:00,30.535999999999998,23.858650954551262
2020-04-04 02:00:00,31.184,21.41960727898594
2020-04-04 03:00:00,30.886999999999997,19.03866585485357
2020-04-04 04:00:00,31.971999999999998,18.626025534555556
2020-04-04 05:00:00,30.346,17.961191340969457
2020-04-04 06:00:00,28.238000000000003,17.22045142175857
2020-04-04 07:00:00,26.0,15.968506623653614
2020-04-04 08:00:00,27.43,18.065379825806037
2020-04-04 09:00:00,29.33,25.183944102498504
2020-04-04 10:00:00,31.4,24.857206692757092
2020-04-04 11:00:00,29.64,26.55804851233466
2020-04-04 12:00:00,24.0,24.86641847765279
2020-04-04 13:00:00,16.99,26.069473380284517
2020-04-04 14:00:00,14.34,24.005832048760052
2020-04-04 15:00:00,9.782,21.675819044899313
2020-04-04 16:00:00,14.1,24.904506744722326
2020-04-04 17:00:00,15.0,26.91937164556606
2020-04-04 18:00:00,16.99,31.98079317208607
2020-04-04 19:00:00,21.0,35.06209985146677
2020-04-04 20:00:00,21.0,36.08310926251589
2020-04-04 21:00:00,21.0,29.315479787494798
2020-04-04 22:00:00,16.93,24.837301819905406
2020-04-04 23:00:00,6.0,20.91868771171458
2020-04-05 00:00:00,-5.0,9.016294121567231
2020-04-05 01:00:00,-6.0,4.390868719271311
2020-04-05 02:00:00,-5.27,5.745141115339944
2020-04-05 03:00:00,-5.27,5.399692964163749
2020-04-05 04:00:00,-6.0,3.1902166994442562
2020-04-05 05:00:00,-10.0,2.1044704751027012
2020-04-05 06:00:00,-10.0,3.099506844243888
2020-04-05 07:00:00,-10.52,3.706982996952586
2020-04-05 08:00:00,-10.52,4.6867648929604435
2020-04-05 09:00:00,-10.0,10.952906878843603
2020-04-05 10:00:00,-5.899,14.669561577145966
2020-04-05 11:00:00,-5.18,16.993449458492364
2020-04-05 12:00:00,-4.57,15.460363450706298
2020-04-05 13:00:00,-5.18,15.493442556430853
2020-04-05 14:00:00,-10.039,14.959091345681095
2020-04-05 15:00:00,-14.562000000000001,15.558214528169538
2020-04-05 16:00:00,-10.69,17.126164466568177
2020-04-05 17:00:00,-5.9,17.94726090938315
2020-04-05 18:00:00,-1.1,26.130523200408998
2020-04-05 19:00:00,16.99,30.621624193728433
2020-04-05 20:00:00,24.76,30.007620169129215
2020-04-05 21:00:00,29.15,27.34702729629118
2020-04-05 22:00:00,12.185,18.96405355022927
2020-04-05 23:00:00,0.0,15.503642204566813
2020-04-06 00:00:00,-5.69,2.6888658768969833
2020-04-06 01:00:00,-1.0,1.4060463899325943
2020-04-06 02:00:00,-1.1,1.0318744030809222
2020-04-06 03:00:00,-1.0,-0.8045746713979578
2020-04-06 04:00:00,0.0,-0.48019734764974814
2020-04-06 05:00:00,0.0,-0.8134799878396357
2020-04-06 06:00:00,5.0,0.12707644638747356
2020-04-06 07:00:00,19.407,3.9035940329367556
2020-04-06 08:00:00,22.558000000000003,8.872051983485145
2020-04-06 09:00:00,27.8,16.45594912936691
2020-04-06 10:00:00,21.06,18.63553260256479
2020-04-06 11:00:00,21.09,17.233561370642523
2020-04-06 12:00:00,21.628,16.281312399743296
2020-04-06 13:00:00,27.56,21.059918109494944
2020-04-06 14:00:00,27.8,19.648622270450367
2020-04-06 15:00:00,27.534000000000002,20.341566078775255
2020-04-06 16:00:00,21.987,20.850594648531967
2020-04-06 17:00:00,27.16,26.17976296156996
2020-04-06 18:00:00,30.983,35.51814858045761
2020-04-06 19:00:00,41.093,45.411568622793936
2020-04-06 20:00:00,44.553999999999995,40.598958540363
2020-04-06 21:00:00,46.85,36.44422798650429
2020-04-06 22:00:00,40.955,30.764537619917064
2020-04-06 23:00:00,33.01,26.364717491635727
2020-04-07 00:00:00,46.3,14.652222850901085
2020-04-07 01:00:00,36.463,16.347453005611698
2020-04-07 02:00:00,36.576,14.601855558704216
2020-04-07 03:00:00,37.534,12.870883086167362
2020-04-07 04:00:00,35.077,10.775789771638834
2020-04-07 05:00:00,33.841,14.479756716737306
2020-04-07 06:00:00,34.308,16.218947102192132
2020-04-07 07:00:00,39.32,14.275196052009127
2020-04-07 08:00:00,44.8,24.945514474340722
2020-04-07 09:00:00,48.19,29.281836099743742
2020-04-07 10:00:00,40.641999999999996,28.64118754730143
2020-04-07 11:00:00,31.4,25.811297708857246
2020-04-07 12:00:00,29.0,26.265843256480537
2020-04-07 13:00:00,25.3,27.572720622800222
2020-04-07 14:00:00,16.05,27.43585930283296
2020-04-07 15:00:00,16.0,27.40515302256722
2020-04-07 16:00:00,16.337,28.394598416670085
2020-04-07 17:00:00,21.409000000000002,30.517754037464826
2020-04-07 18:00:00,32.771,37.38651052287742
2020-04-07 19:00:00,41.178000000000004,45.04743541968838
2020-04-07 20:00:00,46.667,38.52602523773966
2020-04-07 21:00:00,47.818999999999996,37.09070550523183
2020-04-07 22:00:00,38.091,33.593845851387854
2020-04-07 23:00:00,34.0,26.57495271492513
2020-04-08 00:00:00,29.25,25.202442871025948
2020-04-08 01:00:00,27.962,24.348671799156545
2020-04-08 02:00:00,29.0,20.513912657505937
2020-04-08 03:00:00,29.22,18.867417198874794
2020-04-08 04:00:00,30.316999999999997,18.14579721278721
2020-04-08 05:00:00,31.381999999999998,18.729249553627938
2020-04-08 06:00:00,34.55,19.56814327544146
2020-04-08 07:00:00,35.274,23.880585187351837
2020-04-08 08:00:00,37.107,29.95723765985905
2020-04-08 09:00:00,45.216,31.711224611963466
2020-04-08 10:00:00,45.0,30.189578455589476
2020-04-08 11:00:00,40.967,22.038166126761535
2020-04-08 12:00:00,39.89,26.027812590642263
2020-04-08 13:00:00,39.89,26.579095823538246
2020-04-08 14:00:00,39.03,25.442081617384915
2020-04-08 15:00:00,35.07,24.666124004509186
