,Original,Forecast
2020-01-01 00:00:00,49.0,40.071603084821625
2020-01-01 01:00:00,51.24,37.63354754979567
2020-01-01 02:00:00,48.55,36.803518382774996
2020-01-01 03:00:00,36.909,29.775178983760384
2020-01-01 04:00:00,32.77,26.433236608064956
2020-01-01 05:00:00,31.69,27.98569524952037
2020-01-01 06:00:00,31.63,29.562133053451646
2020-01-01 07:00:00,31.545,31.955846026117243
2020-01-01 08:00:00,32.361999999999995,30.273502585321108
2020-01-01 09:00:00,33.616,36.86320519655436
2020-01-01 10:00:00,39.184,36.65983122396448
2020-01-01 11:00:00,45.675,41.460463069167396
2020-01-01 12:00:00,52.6,42.570535425898456
2020-01-01 13:00:00,49.0,42.715183098462845
2020-01-01 14:00:00,48.07899999999999,41.42284043862131
2020-01-01 15:00:00,47.706,41.49796660029786
2020-01-01 16:00:00,43.21,40.57256933419443
2020-01-01 17:00:00,53.95,53.30207469077392
2020-01-01 18:00:00,58.09,64.67827284357915
2020-01-01 19:00:00,46.17,53.74204492297969
2020-01-01 20:00:00,35.27,46.236713625822475
2020-01-01 21:00:00,32.77,39.75931557668247
2020-01-01 22:00:00,27.08,35.072187576040854
2020-01-01 23:00:00,14.0,32.05714187435641
2020-01-02 00:00:00,9.6,16.575851518979288
2020-01-02 01:00:00,-1.0,7.584080000582552
2020-01-02 02:00:00,-4.39,6.090969718294969
2020-01-02 03:00:00,-4.48,2.529126544487032
2020-01-02 04:00:00,-4.48,0.09757229602392076
2020-01-02 05:00:00,-5.2,-0.5678209512329156
2020-01-02 06:00:00,-5.0,-0.5447600274665306
2020-01-02 07:00:00,-4.39,7.795947250216868
2020-01-02 08:00:00,15.0,11.884348729654322
2020-01-02 09:00:00,30.0,17.33718159932629
2020-01-02 10:00:00,42.428000000000004,23.71963473068259
2020-01-02 11:00:00,44.0,25.706683810335782
2020-01-02 12:00:00,35.0,22.565426365680782
2020-01-02 13:00:00,34.13,25.906450217260407
2020-01-02 14:00:00,34.0,26.61934895266928
2020-01-02 15:00:00,34.0,29.106534796744075
2020-01-02 16:00:00,39.0,27.80536127132735
2020-01-02 17:00:00,47.271,35.61177163415718
2020-01-02 18:00:00,56.821000000000005,46.896206726456775
2020-01-02 19:00:00,49.516999999999996,44.942334711760935
2020-01-02 20:00:00,46.928000000000004,43.48418326137542
2020-01-02 21:00:00,39.614000000000004,37.65301676144405
2020-01-02 22:00:00,34.621,29.432208537338884
2020-01-02 23:00:00,33.406,25.55930467349211
2020-01-03 00:00:00,30.52,25.841405589721663
2020-01-03 01:00:00,28.633000000000003,15.48879890431779
2020-01-03 02:00:00,27.033,9.086047034118252
2020-01-03 03:00:00,26.171999999999997,10.651174951298975
2020-01-03 04:00:00,23.651,5.216960314037602
2020-01-03 05:00:00,26.75,7.399958271336754
2020-01-03 06:00:00,30.52,10.971062976547437
2020-01-03 07:00:00,43.166000000000004,19.82763695627984
2020-01-03 08:00:00,43.74,27.411912934073918
2020-01-03 09:00:00,48.312,36.312594250642995
2020-01-03 10:00:00,53.203,40.02610099452366
2020-01-03 11:00:00,53.18,40.66830915732037
2020-01-03 12:00:00,48.57,36.51057365993416
2020-01-03 13:00:00,42.938,36.986899086973125
2020-01-03 14:00:00,42.225,37.048215864116344
2020-01-03 15:00:00,40.541,37.51981811002619
2020-01-03 16:00:00,41.083999999999996,38.33336469567917
2020-01-03 17:00:00,50.098,47.77174432091019
2020-01-03 18:00:00,58.284,58.24674047319835
2020-01-03 19:00:00,48.57,57.390417464907806
2020-01-03 20:00:00,46.961000000000006,53.40172551297558
2020-01-03 21:00:00,42.68,47.013922166820954
2020-01-03 22:00:00,41.07,42.87814842825596
2020-01-03 23:00:00,37.809,35.062773399087654
2020-01-04 00:00:00,34.830999999999996,33.41993630820762
2020-01-04 01:00:00,30.0,25.90028514150496
2020-01-04 02:00:00,28.069000000000003,22.017555415448662
2020-01-04 03:00:00,26.75,16.86736950912895
2020-01-04 04:00:00,25.031999999999996,15.864497994416702
2020-01-04 05:00:00,24.682,16.243458140767217
2020-01-04 06:00:00,24.598000000000003,18.625682231352645
2020-01-04 07:00:00,26.75,24.33471638160931
2020-01-04 08:00:00,29.694000000000003,27.650839223201935
2020-01-04 09:00:00,35.779,34.69257748867955
2020-01-04 10:00:00,40.0,38.38362995865427
2020-01-04 11:00:00,43.361999999999995,38.01913592991293
2020-01-04 12:00:00,43.99,36.753703057181085
2020-01-04 13:00:00,43.99,37.90704631116933
2020-01-04 14:00:00,46.17,37.42775541192622
2020-01-04 15:00:00,45.0,36.034907825509414
2020-01-04 16:00:00,38.96,38.679598364817025
2020-01-04 17:00:00,55.748999999999995,49.716502244033116
2020-01-04 18:00:00,70.88,62.30701237361106
2020-01-04 19:00:00,60.758,53.34741680032389
2020-01-04 20:00:00,48.8,48.139917711881125
2020-01-04 21:00:00,41.0,44.41769186229994
2020-01-04 22:00:00,39.066,38.041839028493776
2020-01-04 23:00:00,37.293,33.266378330915586
2020-01-05 00:00:00,46.69,28.617748202847636
2020-01-05 01:00:00,31.719,22.59452961253827
2020-01-05 02:00:00,30.513,15.52037590528808
2020-01-05 03:00:00,28.0,10.655603686441646
2020-01-05 04:00:00,28.0,7.848705634069269
2020-01-05 05:00:00,27.28,8.245573938424892
2020-01-05 06:00:00,26.35,10.207420051193038
2020-01-05 07:00:00,25.8,15.006891509776063
2020-01-05 08:00:00,25.36,20.635466524830637
2020-01-05 09:00:00,26.94,24.98272332171518
2020-01-05 10:00:00,36.727,27.390266053597724
2020-01-05 11:00:00,43.468,30.624681387695063
2020-01-05 12:00:00,37.489000000000004,31.80655639521151
2020-01-05 13:00:00,37.896,32.525187247021904
2020-01-05 14:00:00,42.354,32.38644441646764
2020-01-05 15:00:00,43.468,31.785743997336645
2020-01-05 16:00:00,39.888000000000005,32.46686381008459
2020-01-05 17:00:00,53.5,38.49564523733041
2020-01-05 18:00:00,66.37,47.6240119816666
2020-01-05 19:00:00,52.213,48.76983936366521
2020-01-05 20:00:00,45.117,39.45617351675327
2020-01-05 21:00:00,37.239000000000004,34.50309679006766
2020-01-05 22:00:00,28.0,30.387108192073658
2020-01-05 23:00:00,17.0,25.644973808477324
2020-01-06 00:00:00,-1.0,16.73431623648527
2020-01-06 01:00:00,-4.01,4.199710254395205
2020-01-06 02:00:00,-4.2,0.32736775471997615
2020-01-06 03:00:00,-4.01,-0.34557178408522343
2020-01-06 04:00:00,-4.14,-0.6916185108193242
2020-01-06 05:00:00,-4.17,-2.3272202322886084
2020-01-06 06:00:00,-4.01,1.2315540900270585
2020-01-06 07:00:00,-0.1,9.673487828502543
2020-01-06 08:00:00,28.0,21.812710712524385
2020-01-06 09:00:00,43.87,27.434653618270215
2020-01-06 10:00:00,39.0,29.775952582350474
2020-01-06 11:00:00,41.435,30.63024508116473
2020-01-06 12:00:00,41.28,30.42663783079432
2020-01-06 13:00:00,40.491,30.0959409199605
2020-01-06 14:00:00,41.32,31.496575924774074
2020-01-06 15:00:00,42.668,32.46662031758853
2020-01-06 16:00:00,45.33,33.45732838588795
2020-01-06 17:00:00,51.41,41.43345107845508
2020-01-06 18:00:00,64.152,53.69040229386725
2020-01-06 19:00:00,71.0,50.61916716199656
2020-01-06 20:00:00,53.091,47.514857210566504
2020-01-06 21:00:00,44.435,43.69484096428666
2020-01-06 22:00:00,42.618,37.87393816688223
2020-01-06 23:00:00,34.251,30.86922141914248
2020-01-07 00:00:00,33.652,25.546393449405723
2020-01-07 01:00:00,30.439,14.270150747546568
2020-01-07 02:00:00,12.9,11.620081389249004
2020-01-07 03:00:00,-0.25,7.194993959768656
2020-01-07 04:00:00,-0.26,3.3692407457329416
2020-01-07 05:00:00,-0.294,2.5394495140042963
2020-01-07 06:00:00,-0.294,6.372188548638274
2020-01-07 07:00:00,0.0,15.58686202547862
2020-01-07 08:00:00,31.58,26.453154317125165
2020-01-07 09:00:00,36.55,31.837337443281715
2020-01-07 10:00:00,48.618,31.30839960917438
2020-01-07 11:00:00,46.21,32.089680874272815
2020-01-07 12:00:00,44.9,31.56816974060749
2020-01-07 13:00:00,44.688,30.870857576772874
2020-01-07 14:00:00,37.99,32.05640949444569
2020-01-07 15:00:00,37.99,31.331046798566945
2020-01-07 16:00:00,43.643,32.02938146563335
2020-01-07 17:00:00,48.28,41.68383257344781
2020-01-07 18:00:00,50.51,54.84494002180549
2020-01-07 19:00:00,48.99,46.55304410582268
2020-01-07 20:00:00,46.785,42.547188921321734
2020-01-07 21:00:00,40.808,38.74621460775353
2020-01-07 22:00:00,36.912,33.393589951777415
2020-01-07 23:00:00,32.93,28.730202035880595
2020-01-08 00:00:00,28.83,29.586287292373648
2020-01-08 01:00:00,27.212,20.791462688623856
2020-01-08 02:00:00,25.01,15.839616212171842
2020-01-08 03:00:00,21.506,12.414143237878125
2020-01-08 04:00:00,20.854,10.76174362566809
2020-01-08 05:00:00,26.607,12.923596226037427
2020-01-08 06:00:00,33.07,15.27807845440567
2020-01-08 07:00:00,41.49,27.649516812665468
2020-01-08 08:00:00,45.0,38.803441500546015
2020-01-08 09:00:00,46.56,45.13034290949798
2020-01-08 10:00:00,51.0,47.16477964140735
2020-01-08 11:00:00,54.99,45.93056819567741
2020-01-08 12:00:00,56.52,48.048069703330626
2020-01-08 13:00:00,62.0,49.040610357120784
2020-01-08 14:00:00,62.0,47.87650141111464
2020-01-08 15:00:00,69.49,47.12473591754924
2020-01-08 16:00:00,93.046,52.81122202120972
2020-01-08 17:00:00,126.64,57.06322908418516
2020-01-08 18:00:00,170.0,60.11122171228207
2020-01-08 19:00:00,86.5,59.2451062425584
2020-01-08 20:00:00,55.229,54.36259456449287
2020-01-08 21:00:00,47.97,48.95744091299613
2020-01-08 22:00:00,44.846000000000004,46.25554470909922
2020-01-08 23:00:00,41.611999999999995,37.07356397602577
2020-01-09 00:00:00,42.467,42.64183904604511
2020-01-09 01:00:00,38.536,32.90817210435658
2020-01-09 02:00:00,31.997,29.143367606958602
2020-01-09 03:00:00,30.74,26.639481114767705
2020-01-09 04:00:00,28.81,25.195664850510422
2020-01-09 05:00:00,28.879,24.24311072018841
2020-01-09 06:00:00,34.0,27.03585259966279
2020-01-09 07:00:00,44.775,32.504318828914116
2020-01-09 08:00:00,48.77,41.385381716971786
2020-01-09 09:00:00,54.17,51.55088320313637
2020-01-09 10:00:00,62.5,53.736303984630815
2020-01-09 11:00:00,69.18,51.78792300738794
2020-01-09 12:00:00,69.4,49.988982433081475
2020-01-09 13:00:00,70.01,48.60021463925997
2020-01-09 14:00:00,61.95,46.499894029667175
2020-01-09 15:00:00,55.0,44.5227723315776
2020-01-09 16:00:00,54.32,46.16495969033117
2020-01-09 17:00:00,61.95,51.495183805868166
2020-01-09 18:00:00,75.0,58.452199526811555
2020-01-09 19:00:00,57.955,52.199384381097445
2020-01-09 20:00:00,51.96,48.38675200876564
2020-01-09 21:00:00,44.32,44.65225376504918
2020-01-09 22:00:00,44.739,38.52608522311248
2020-01-09 23:00:00,40.483000000000004,33.904619475028674
2020-01-10 00:00:00,44.0,41.08822549640316
2020-01-10 01:00:00,43.0,32.08321190370703
2020-01-10 02:00:00,41.82,27.80848042028685
2020-01-10 03:00:00,35.48,27.750022560044716
2020-01-10 04:00:00,33.75,24.786873820597386
2020-01-10 05:00:00,35.523,23.827271380716372
2020-01-10 06:00:00,34.366,26.201997427605452
2020-01-10 07:00:00,45.68,28.32910040365719
2020-01-10 08:00:00,51.056000000000004,40.172318870391514
