,Original,Forecast
2020-07-01 00:00:00,33.73,37.788869233689965
2020-07-01 01:00:00,28.91,34.48031178914538
2020-07-01 02:00:00,26.0,30.199152431908782
2020-07-01 03:00:00,25.06,28.531931584643697
2020-07-01 04:00:00,24.38,25.688809212884347
2020-07-01 05:00:00,25.49,26.817373843303805
2020-07-01 06:00:00,30.37,29.69596902231183
2020-07-01 07:00:00,34.25,36.10902662406859
2020-07-01 08:00:00,37.12,35.82662999075808
2020-07-01 09:00:00,40.69,38.34575248689502
2020-07-01 10:00:00,40.28,40.111913162748294
2020-07-01 11:00:00,39.83,40.426149491351936
2020-07-01 12:00:00,41.15,38.75363745639682
2020-07-01 13:00:00,40.39,39.98966778754917
2020-07-01 14:00:00,36.51,38.92029676656592
2020-07-01 15:00:00,29.17,38.68034443368185
2020-07-01 16:00:00,29.24,37.9793274753335
2020-07-01 17:00:00,34.56,41.82425041079173
2020-07-01 18:00:00,39.53,44.547875303508484
2020-07-01 19:00:00,43.0,44.18149963726547
2020-07-01 20:00:00,38.69,41.677552479409485
2020-07-01 21:00:00,37.36,41.73889049200801
2020-07-01 22:00:00,37.48,40.35519380375641
2020-07-01 23:00:00,35.3,35.22605151289178
2020-07-02 00:00:00,33.69,37.49487615887297
2020-07-02 01:00:00,29.24,34.7199939676023
2020-07-02 02:00:00,26.43,30.67465453655945
2020-07-02 03:00:00,25.33,29.044604182355954
2020-07-02 04:00:00,25.98,26.945394884485747
2020-07-02 05:00:00,26.28,27.149226257805804
2020-07-02 06:00:00,26.5,30.443936352521636
2020-07-02 07:00:00,29.0,34.54595015826432
2020-07-02 08:00:00,31.84,34.53938246026153
2020-07-02 09:00:00,40.0,37.951157111271385
2020-07-02 10:00:00,41.0,42.12055266470578
2020-07-02 11:00:00,40.52,41.445800172134454
2020-07-02 12:00:00,38.27,40.34532308254965
2020-07-02 13:00:00,38.18,39.94049710650306
2020-07-02 14:00:00,35.54,39.584422758746776
2020-07-02 15:00:00,29.52,38.548345725663566
2020-07-02 16:00:00,32.53,37.264688028566155
2020-07-02 17:00:00,38.46,39.9624462194412
2020-07-02 18:00:00,43.75,45.655461407537686
2020-07-02 19:00:00,47.4,43.043590813803085
2020-07-02 20:00:00,44.29,42.97933279407979
2020-07-02 21:00:00,41.86,40.94525708042843
2020-07-02 22:00:00,39.0,40.97655034764222
2020-07-02 23:00:00,36.0,36.11442727568951
2020-07-03 00:00:00,30.07,31.581635328453512
2020-07-03 01:00:00,23.63,28.009892313335467
2020-07-03 02:00:00,16.45,21.444180511520027
2020-07-03 03:00:00,11.5,19.23604063759462
2020-07-03 04:00:00,0.0,16.737209437754547
2020-07-03 05:00:00,0.0,17.05447027599573
2020-07-03 06:00:00,0.0,18.327979764393984
2020-07-03 07:00:00,11.59,21.31261211502929
2020-07-03 08:00:00,16.7,25.722596540800055
2020-07-03 09:00:00,22.05,30.675568913813116
2020-07-03 10:00:00,25.0,34.028299337858996
2020-07-03 11:00:00,27.35,34.89452690446487
2020-07-03 12:00:00,27.63,34.10361465318351
2020-07-03 13:00:00,29.39,32.805020733558216
2020-07-03 14:00:00,29.39,32.178761077241866
