,Original,Forecast
2020-06-01 00:00:00,22.35,25.83148801188768
2020-06-01 01:00:00,16.41,23.254954541557957
2020-06-01 02:00:00,18.8,22.143657491810092
2020-06-01 03:00:00,19.39,15.43512750808687
2020-06-01 04:00:00,18.8,14.005782129501396
2020-06-01 05:00:00,18.8,14.234147411874488
2020-06-01 06:00:00,19.93,16.50596002004397
2020-06-01 07:00:00,29.02,19.84222914187138
2020-06-01 08:00:00,28.31,17.028760760041088
2020-06-01 09:00:00,32.48,18.594747457778084
2020-06-01 10:00:00,34.07,20.402724731752365
2020-06-01 11:00:00,31.68,23.823189484801684
2020-06-01 12:00:00,32.1,22.730795050944234
2020-06-01 13:00:00,33.16,24.412365943400342
2020-06-01 14:00:00,29.08,23.433944111785554
2020-06-01 15:00:00,22.37,21.266236488961614
2020-06-01 16:00:00,20.0,19.11702089416854
2020-06-01 17:00:00,25.55,25.828647950561184
2020-06-01 18:00:00,31.0,30.973271720783735
2020-06-01 19:00:00,36.59,31.493983443955997
2020-06-01 20:00:00,38.29,31.307430152024395
2020-06-01 21:00:00,35.2,30.44525199854725
2020-06-01 22:00:00,34.39,29.772846206278974
2020-06-01 23:00:00,31.71,26.763564753880733
2020-06-02 00:00:00,29.58,30.264560884912687
2020-06-02 01:00:00,23.26,27.72414899279911
2020-06-02 02:00:00,22.13,28.12990617382119
2020-06-02 03:00:00,19.78,24.922906213869247
2020-06-02 04:00:00,22.13,24.788764328223042
2020-06-02 05:00:00,21.58,24.948847649623076
2020-06-02 06:00:00,23.65,26.009786758318313
2020-06-02 07:00:00,29.51,29.48687868033669
2020-06-02 08:00:00,33.0,30.368768924307417
2020-06-02 09:00:00,34.01,31.434152853059306
2020-06-02 10:00:00,33.04,31.954107721061483
2020-06-02 11:00:00,27.92,31.17372025806173
2020-06-02 12:00:00,26.4,29.71788299127509
2020-06-02 13:00:00,29.0,31.24731428696857
2020-06-02 14:00:00,23.16,29.255527497126536
2020-06-02 15:00:00,21.96,26.83969879011763
2020-06-02 16:00:00,21.72,25.810031951740644
2020-06-02 17:00:00,25.65,29.210607466649986
2020-06-02 18:00:00,35.0,36.47817503120022
2020-06-02 19:00:00,39.58,32.906135900257986
2020-06-02 20:00:00,38.05,33.75351327895275
2020-06-02 21:00:00,35.22,31.826542476460123
2020-06-02 22:00:00,32.01,31.872987150621867
2020-06-02 23:00:00,25.36,26.045515525908897
2020-06-03 00:00:00,81.0,24.649800673290947
2020-06-03 01:00:00,30.99,19.625850223740013
2020-06-03 02:00:00,25.0,17.704089340254242
2020-06-03 03:00:00,21.85,12.587215032552347
2020-06-03 04:00:00,18.4,8.58668481665834
2020-06-03 05:00:00,16.99,7.910706395440178
2020-06-03 06:00:00,20.0,8.606925273742265
2020-06-03 07:00:00,18.66,14.570232414692915
2020-06-03 08:00:00,23.0,19.847678100903586
2020-06-03 09:00:00,29.0,23.323801497286137
2020-06-03 10:00:00,26.14,25.311532166147956
2020-06-03 11:00:00,25.0,23.499375292890885
2020-06-03 12:00:00,23.17,18.52799810616036
2020-06-03 13:00:00,23.17,20.036274346836755
2020-06-03 14:00:00,23.17,17.664351589468705
2020-06-03 15:00:00,20.64,17.375126366569415
2020-06-03 16:00:00,23.17,17.4392852429226
2020-06-03 17:00:00,25.73,19.735178386754274
2020-06-03 18:00:00,31.17,27.312101605117544
2020-06-03 19:00:00,32.18,27.42699845103769
2020-06-03 20:00:00,31.17,28.085390170289152
2020-06-03 21:00:00,30.18,24.979555679539
2020-06-03 22:00:00,27.23,24.490198806835455
2020-06-03 23:00:00,26.86,18.93753245764066
2020-06-04 00:00:00,27.0,23.11627572404489
2020-06-04 01:00:00,21.93,20.331075790880124
2020-06-04 02:00:00,19.74,16.641965734407602
2020-06-04 03:00:00,18.64,11.520706519913213
2020-06-04 04:00:00,17.42,9.757456409518065
2020-06-04 05:00:00,17.42,10.009135356573317
2020-06-04 06:00:00,20.49,12.823639323894918
2020-06-04 07:00:00,22.45,20.404039501070372
2020-06-04 08:00:00,29.61,22.02382184825419
2020-06-04 09:00:00,33.12,24.79064805636258
2020-06-04 10:00:00,31.27,24.28758124554434
2020-06-04 11:00:00,31.22,22.85228941690454
2020-06-04 12:00:00,29.97,18.77310239402778
2020-06-04 13:00:00,31.04,18.93939523003722
2020-06-04 14:00:00,26.31,17.79919743815881
2020-06-04 15:00:00,25.55,17.218733386379142
2020-06-04 16:00:00,25.25,16.59852635828556
2020-06-04 17:00:00,27.83,17.573765094591117
2020-06-04 18:00:00,29.6,26.478383515209384
2020-06-04 19:00:00,32.89,28.741116801989353
2020-06-04 20:00:00,31.0,29.967493028529134
2020-06-04 21:00:00,30.0,26.3592140944159
2020-06-04 22:00:00,30.43,26.147691694255364
2020-06-04 23:00:00,29.99,22.672530629164264
2020-06-05 00:00:00,29.98,23.101594756063736
2020-06-05 01:00:00,27.14,18.557157372797505
2020-06-05 02:00:00,17.46,16.02757370550611
2020-06-05 03:00:00,15.71,10.137617179349505
2020-06-05 04:00:00,15.23,9.772902642799007
2020-06-05 05:00:00,14.2,9.328963137264354
2020-06-05 06:00:00,11.73,9.865449206957168
2020-06-05 07:00:00,20.0,16.17224320781128
2020-06-05 08:00:00,31.41,17.925681695349322
2020-06-05 09:00:00,32.98,21.405345937424123
2020-06-05 10:00:00,28.69,22.917705516549464
2020-06-05 11:00:00,27.7,22.111184776423798
2020-06-05 12:00:00,24.43,15.815050359053659
2020-06-05 13:00:00,22.19,15.678156338538782
2020-06-05 14:00:00,17.05,13.050217503014743
2020-06-05 15:00:00,13.44,11.918965059677335
2020-06-05 16:00:00,12.06,12.299064265755591
2020-06-05 17:00:00,13.3,15.608388519194198
2020-06-05 18:00:00,13.89,21.21338999310973
2020-06-05 19:00:00,13.48,22.088686847615104
2020-06-05 20:00:00,12.42,24.352787920121898
