,Original,Forecast
2020-05-01 00:00:00,34.76,25.082104037081788
2020-05-01 01:00:00,26.65,22.09660699333985
2020-05-01 02:00:00,21.63,18.16831059851835
2020-05-01 03:00:00,19.25,16.727788331199317
2020-05-01 04:00:00,17.75,14.049791456108498
2020-05-01 05:00:00,18.67,14.387094517766894
2020-05-01 06:00:00,19.21,16.78603174057207
2020-05-01 07:00:00,28.31,24.180174327181813
2020-05-01 08:00:00,30.9,24.293817491050913
2020-05-01 09:00:00,37.56,25.882408484422413
2020-05-01 10:00:00,35.21,25.187223294471252
2020-05-01 11:00:00,30.95,20.998334476382816
2020-05-01 12:00:00,29.57,21.17357203311119
2020-05-01 13:00:00,28.59,22.650933641763526
2020-05-01 14:00:00,21.77,20.23379892556253
2020-05-01 15:00:00,14.67,18.19532023548324
2020-05-01 16:00:00,17.0,16.8786435269979
2020-05-01 17:00:00,23.39,19.279290765405662
2020-05-01 18:00:00,31.61,27.754575839091498
2020-05-01 19:00:00,36.41,33.45521779661846
2020-05-01 20:00:00,34.95,31.631486046385533
2020-05-01 21:00:00,34.0,29.845244801494015
2020-05-01 22:00:00,33.23,27.994728727423357
2020-05-01 23:00:00,30.32,25.92495423981868
2020-05-02 00:00:00,32.4,25.2942338772029
2020-05-02 01:00:00,26.0,23.551493941637588
2020-05-02 02:00:00,19.56,19.786513688706126
2020-05-02 03:00:00,18.76,18.09593036559902
2020-05-02 04:00:00,17.95,18.22164968244225
2020-05-02 05:00:00,17.43,18.288524895711614
2020-05-02 06:00:00,17.58,19.8489351726697
2020-05-02 07:00:00,18.42,19.06594085019345
2020-05-02 08:00:00,19.56,20.361356592829452
2020-05-02 09:00:00,25.07,24.605385565377116
2020-05-02 10:00:00,31.22,25.478283835065806
2020-05-02 11:00:00,32.7,26.34373849432329
2020-05-02 12:00:00,36.37,27.02752411949327
2020-05-02 13:00:00,38.69,27.88358488107432
2020-05-02 14:00:00,34.84,27.031628012184974
2020-05-02 15:00:00,31.4,24.27982235461601
2020-05-02 16:00:00,28.17,19.897747670986792
2020-05-02 17:00:00,36.34,26.918913254777316
2020-05-02 18:00:00,36.0,33.47789609232336
2020-05-02 19:00:00,41.02,36.97415455205778
2020-05-02 20:00:00,41.53,33.574398787106404
2020-05-02 21:00:00,41.03,30.41170166420884
2020-05-02 22:00:00,39.39,28.10902095401316
2020-05-02 23:00:00,34.63,27.35236959950322
2020-05-03 00:00:00,38.11,28.046555935455547
2020-05-03 01:00:00,32.72,26.595586724659398
2020-05-03 02:00:00,31.3,25.21291497470631
2020-05-03 03:00:00,29.06,21.104167177761386
2020-05-03 04:00:00,26.76,19.030598609756122
2020-05-03 05:00:00,25.0,18.629659622706182
2020-05-03 06:00:00,22.22,19.36828178815138
2020-05-03 07:00:00,21.0,17.57271166443693
2020-05-03 08:00:00,19.45,15.033905337081789
2020-05-03 09:00:00,23.05,20.91050176757148
2020-05-03 10:00:00,28.99,25.811306817474527
2020-05-03 11:00:00,32.0,27.277292101555688
2020-05-03 12:00:00,34.0,27.964175062493947
2020-05-03 13:00:00,37.52,28.594503294975578
2020-05-03 14:00:00,35.17,27.616009739366195
2020-05-03 15:00:00,29.31,25.298237952790267
2020-05-03 16:00:00,32.36,22.32044456645216
2020-05-03 17:00:00,37.15,28.254849287086934
2020-05-03 18:00:00,40.97,34.4614348038279
2020-05-03 19:00:00,43.0,37.9775439800298
2020-05-03 20:00:00,41.33,34.20291971492859
2020-05-03 21:00:00,40.0,34.43768585777295
2020-05-03 22:00:00,40.0,31.843208559644378
2020-05-03 23:00:00,31.3,29.21514368276788
2020-05-04 00:00:00,29.65,26.686592986341967
2020-05-04 01:00:00,28.37,25.402788716658502
2020-05-04 02:00:00,25.1,23.060421617161374
2020-05-04 03:00:00,24.0,21.1344220286407
2020-05-04 04:00:00,20.83,17.435751581455865
2020-05-04 05:00:00,19.75,16.994111702390583
2020-05-04 06:00:00,21.75,17.029194235687854
2020-05-04 07:00:00,18.77,20.024209286537864
2020-05-04 08:00:00,25.0,17.632475150871805
2020-05-04 09:00:00,32.24,20.854473280995222
2020-05-04 10:00:00,34.06,23.34014832049958
2020-05-04 11:00:00,34.06,23.555052451077653
2020-05-04 12:00:00,32.24,21.95127554709723
2020-05-04 13:00:00,30.0,24.216834267827213
2020-05-04 14:00:00,26.76,20.814190361737626
2020-05-04 15:00:00,21.9,18.90118975020088
2020-05-04 16:00:00,18.11,21.53574370826983
2020-05-04 17:00:00,17.29,24.89306984472232
2020-05-04 18:00:00,20.6,28.102987368706255
2020-05-04 19:00:00,20.6,28.374103719786003
2020-05-04 20:00:00,19.6,27.726893268230395
2020-05-04 21:00:00,20.2,26.2597885161827
2020-05-04 22:00:00,20.6,22.641074595978118
2020-05-04 23:00:00,17.31,18.43569001506947
2020-05-05 00:00:00,14.66,8.664145641623945
2020-05-05 01:00:00,13.57,4.083764861549239
2020-05-05 02:00:00,8.97,1.0536411021074317
2020-05-05 03:00:00,8.97,-0.9668090740120655
2020-05-05 04:00:00,8.97,-2.631247128212579
2020-05-05 05:00:00,8.97,-3.287230176394751
2020-05-05 06:00:00,8.87,-2.9510810429089407
2020-05-05 07:00:00,8.87,0.6264678394113684
2020-05-05 08:00:00,14.72,8.178038379714978
2020-05-05 09:00:00,18.0,9.427617179096927
2020-05-05 10:00:00,17.17,13.382309213112634
2020-05-05 11:00:00,17.17,13.522903959049513
2020-05-05 12:00:00,18.0,13.928880839940648
2020-05-05 13:00:00,18.0,12.571463580128437
2020-05-05 14:00:00,17.17,13.32551101788442
2020-05-05 15:00:00,16.16,12.54004216839969
2020-05-05 16:00:00,15.66,12.638893738039066
2020-05-05 17:00:00,15.49,21.548027486515775
2020-05-05 18:00:00,22.64,25.85247408790605
2020-05-05 19:00:00,26.85,29.03277297022346
2020-05-05 20:00:00,26.85,29.270271985042374
2020-05-05 21:00:00,26.85,27.471451246437557
2020-05-05 22:00:00,27.0,25.29071239623717
2020-05-05 23:00:00,24.8,19.34759181125259
2020-05-06 00:00:00,23.53,13.426934495334946
2020-05-06 01:00:00,20.04,11.733906768209199
2020-05-06 02:00:00,19.41,7.964880639325977
2020-05-06 03:00:00,18.58,7.2302378903007325
2020-05-06 04:00:00,18.24,4.606488864188749
2020-05-06 05:00:00,19.0,4.952318193342418
2020-05-06 06:00:00,19.87,7.099267447827625
2020-05-06 07:00:00,21.57,10.13861189761602
2020-05-06 08:00:00,23.32,16.24007202163536
2020-05-06 09:00:00,31.49,18.87810879788278
2020-05-06 10:00:00,29.0,21.46535180156434
2020-05-06 11:00:00,26.76,17.91664713155634
2020-05-06 12:00:00,25.0,17.3465948457495
2020-05-06 13:00:00,23.26,17.519927857059276
2020-05-06 14:00:00,22.18,17.18233030478408
2020-05-06 15:00:00,21.53,16.445513600065965
2020-05-06 16:00:00,21.85,15.53644339986574
2020-05-06 17:00:00,24.0,18.489481781988346
2020-05-06 18:00:00,31.0,27.41868921422658
2020-05-06 19:00:00,36.0,31.333909092816643
2020-05-06 20:00:00,36.0,29.835789898872093
2020-05-06 21:00:00,33.0,25.892087732127756
2020-05-06 22:00:00,32.78,25.626542581018125
2020-05-06 23:00:00,27.56,24.723111316521535
2020-05-07 00:00:00,24.68,20.60853927924824
2020-05-07 01:00:00,23.23,18.879341119201648
2020-05-07 02:00:00,22.0,16.988981687466687
2020-05-07 03:00:00,18.5,17.125579068688285
2020-05-07 04:00:00,17.91,12.202792767067365
2020-05-07 05:00:00,18.49,11.074449394285752
2020-05-07 06:00:00,19.37,14.766201905711542
2020-05-07 07:00:00,21.54,19.643495928100897
2020-05-07 08:00:00,25.0,24.358824078296472
2020-05-07 09:00:00,34.9,26.24993810059615
2020-05-07 10:00:00,32.26,26.951856619346
